gimnasios,paradas,mochila,dificultad,tiempo
1,2,7,10,45119.5
1,2,7,20,57314.1
1,2,7,30,40621.2
1,2,7,40,27625.6
1,2,7,50,27117.5
1,2,7,60,27970.4
1,2,7,70,28132.2
1,2,7,80,26608.2
1,2,7,90,26815.5
1,2,7,100,26489.9
1,3,10,10,54250.8
1,3,10,20,99600.1
1,3,10,30,73128.1
1,3,10,40,84519
1,3,10,50,125668
1,3,10,60,117447
1,3,10,70,87046.6
1,3,10,80,156231
1,3,10,90,101546
1,3,10,100,84473.2
1,4,13,10,77949.2
1,4,13,20,103579
1,4,13,30,148781
1,4,13,40,183762
1,4,13,50,208528
1,4,13,60,220365
1,4,13,70,277365
1,4,13,80,252539
1,4,13,90,229806
1,4,13,100,235650
2,4,7,10,556166
2,4,7,20,547053
2,4,7,30,533164
2,4,7,40,754533
2,4,7,50,748946
2,4,7,60,832525
2,4,7,70,1.02952e+06
2,4,7,80,787070
2,4,7,90,848617
2,4,7,100,859182
2,5,8,10,1.93283e+06
2,5,8,20,2.11648e+06
2,5,8,30,2.02148e+06
2,5,8,40,2.06618e+06
2,5,8,50,2.65286e+06
2,5,8,60,3.10698e+06
2,5,8,70,3.15448e+06
2,5,8,80,3.01331e+06
2,5,8,90,3.11348e+06
2,5,8,100,2.94961e+06
2,6,10,10,3.06706e+06
2,6,10,20,3.48756e+06
2,6,10,30,3.64827e+06
2,6,10,40,5.33353e+06
2,6,10,50,7.06762e+06
2,6,10,60,6.52584e+06
2,6,10,70,6.59173e+06
2,6,10,80,7.20164e+06
2,6,10,90,7.46121e+06
2,6,10,100,9.44626e+06
3,6,7,10,1.67559e+07
3,6,7,20,1.69327e+07
3,6,7,30,5.80686e+07
3,6,7,40,6.61391e+07
3,6,7,50,6.96998e+07
3,6,7,60,6.25802e+07
3,6,7,70,7.65409e+07
3,6,7,80,1.05146e+08
3,6,7,90,1.01602e+08
3,6,7,100,1.16836e+08
3,7,8,10,5.87699e+07
3,7,8,20,2.54321e+08
3,7,8,30,2.53017e+08
3,7,8,40,2.85238e+08
3,7,8,50,2.56795e+08
3,7,8,60,3.70531e+08
3,7,8,70,5.00346e+08
3,7,8,80,4.88075e+08
3,7,8,90,4.95518e+08
3,7,8,100,7.40202e+08
3,8,9,10,1.52692e+08
3,8,9,20,6.65235e+08
3,8,9,30,8.38255e+08
3,8,9,40,7.60684e+08
3,8,9,50,9.82939e+08
3,8,9,60,1.26288e+09
3,8,9,70,1.57444e+09
3,8,9,80,1.52824e+09
3,8,9,90,2.86348e+09
3,8,9,100,2.85565e+09
4,8,7,10,8.06981e+08
4,8,7,20,7.3204e+08
4,8,7,30,9.80679e+08
4,8,7,40,2.23852e+09
4,8,7,50,3.9472e+09
4,8,7,60,4.99166e+09
4,8,7,70,7.3343e+09
4,8,7,80,1.13156e+10
4,8,7,90,1.12751e+10
4,8,7,100,1.43357e+10
4,9,7,10,3.81589e+09
4,9,7,20,3.84218e+09
4,9,7,30,4.92049e+09
4,9,7,40,6.38544e+09
4,9,7,50,2.10112e+10
4,9,7,60,3.06175e+10
4,9,7,70,4.11482e+10
4,9,7,80,4.09685e+10
4,9,7,90,6.07286e+10
4,9,7,100,6.09307e+10
4,10,8,10,5.65126e+09
4,10,8,20,7.56189e+09
4,10,8,30,1.04476e+10
4,10,8,40,2.85984e+10
4,10,8,50,2.91896e+10
4,10,8,60,7.45215e+10
4,10,8,70,9.38312e+10
4,10,8,80,1.75264e+11
4,10,8,90,2.23413e+11
4,10,8,100,5.09591e+11
