gimnasios,paradas,mochila,dificultad,tiempo
1,2,7,10,38897.6
1,2,7,20,35453.3
1,2,7,30,32524.2
1,2,7,40,25164
1,2,7,50,25017.2
1,2,7,60,25212.1
1,2,7,70,38465
1,2,7,80,22353.5
1,2,7,90,22333.2
1,2,7,100,26632.1
1,3,10,10,66792.7
1,3,10,20,120500
1,3,10,30,119116
1,3,10,40,124757
1,3,10,50,125684
1,3,10,60,62619.4
1,3,10,70,65486.8
1,3,10,80,80218
1,3,10,90,69509.2
1,3,10,100,70394.6
1,4,13,10,132456
1,4,13,20,166817
1,4,13,30,149843
1,4,13,40,154818
1,4,13,50,155730
1,4,13,60,157808
1,4,13,70,219067
1,4,13,80,229915
1,4,13,90,342883
1,4,13,100,279101
2,4,7,10,574920
2,4,7,20,843137
2,4,7,30,814395
2,4,7,40,1.00437e+06
2,4,7,50,888852
2,4,7,60,874723
2,4,7,70,785747
2,4,7,80,823861
2,4,7,90,816018
2,4,7,100,672932
2,5,8,10,2.00177e+06
2,5,8,20,2.60761e+06
2,5,8,30,2.83376e+06
2,5,8,40,3.1659e+06
2,5,8,50,2.87e+06
2,5,8,60,3.35468e+06
2,5,8,70,3.17606e+06
2,5,8,80,2.95133e+06
2,5,8,90,3.10139e+06
2,5,8,100,3.18509e+06
2,6,10,10,3.03119e+06
2,6,10,20,5.47096e+06
2,6,10,30,5.99749e+06
2,6,10,40,6.05984e+06
2,6,10,50,7.46471e+06
2,6,10,60,7.90106e+06
2,6,10,70,7.34587e+06
2,6,10,80,8.25643e+06
2,6,10,90,8.32056e+06
2,6,10,100,1.04925e+07
3,6,7,10,1.64562e+07
3,6,7,20,1.69276e+07
3,6,7,30,5.83685e+07
3,6,7,40,6.53792e+07
3,6,7,50,6.88148e+07
3,6,7,60,6.15264e+07
3,6,7,70,7.36727e+07
3,6,7,80,1.02005e+08
3,6,7,90,9.93897e+07
3,6,7,100,1.12152e+08
3,7,8,10,5.82045e+07
3,7,8,20,2.50945e+08
3,7,8,30,2.59222e+08
3,7,8,40,2.81525e+08
3,7,8,50,2.54285e+08
3,7,8,60,3.66969e+08
3,7,8,70,4.85073e+08
3,7,8,80,4.76968e+08
3,7,8,90,4.80569e+08
3,7,8,100,7.21155e+08
3,8,9,10,1.51419e+08
3,8,9,20,8.09058e+08
3,8,9,30,8.33943e+08
3,8,9,40,7.6193e+08
3,8,9,50,9.81489e+08
3,8,9,60,1.2347e+09
3,8,9,70,1.54375e+09
3,8,9,80,1.50227e+09
3,8,9,90,2.79598e+09
3,8,9,100,2.78787e+09
4,8,7,10,7.97373e+08
4,8,7,20,7.25358e+08
4,8,7,30,1.62707e+09
4,8,7,40,2.42665e+09
4,8,7,50,3.97072e+09
4,8,7,60,4.94997e+09
4,8,7,70,7.50722e+09
4,8,7,80,1.11126e+10
4,8,7,90,1.10819e+10
4,8,7,100,1.47117e+10
4,9,7,10,3.75745e+09
4,9,7,20,3.8229e+09
4,9,7,30,7.64201e+09
4,9,7,40,9.74395e+09
4,9,7,50,2.11733e+10
4,9,7,60,3.02635e+10
4,9,7,70,4.10348e+10
4,9,7,80,4.13323e+10
4,9,7,90,6.01244e+10
4,9,7,100,5.97101e+10
4,10,8,10,5.70626e+09
4,10,8,20,1.23473e+10
4,10,8,30,1.60737e+10
4,10,8,40,2.90547e+10
4,10,8,50,3.05252e+10
4,10,8,60,7.49187e+10
4,10,8,70,9.31589e+10
4,10,8,80,1.72207e+11
4,10,8,90,2.33328e+11
4,10,8,100,5.01591e+11
