gimnasios,paradas,mochila,distancia,cantciclos
1,1,6,16.1245,18542.7
2,1,6,29.7378,24862.3
2,2,6,35.3838,83536.9
3,1,6,34.1253,110856
3,2,6,38.7376,292878
3,3,6,33.3893,582995
4,1,6,43.1234,284991
4,2,6,42.6321,490877
4,3,6,38.1937,1.65138e+06
4,4,6,48.4996,4.26519e+06
5,1,6,59.5581,1.44927e+06
5,2,6,53.8622,2.544e+06
5,3,6,33.7296,6.6953e+06
5,4,6,53.5489,3.98175e+07
5,5,6,60.1083,2.07961e+08
6,1,6,72.9256,8.70915e+06
6,2,6,55.6312,1.85788e+07
6,3,6,41.3716,2.02444e+07
6,4,6,69.4104,1.8079e+08
6,5,6,68.3648,6.08019e+08
6,6,6,79.7146,2.88535e+09
7,1,6,73.3296,3.52769e+07
7,2,6,60.1449,7.3338e+07
7,3,6,38.2387,6.09498e+07
7,4,6,63.5232,2.92655e+08
7,5,6,77.6893,4.15631e+09
7,6,6,85.4841,2.16565e+10
7,7,6,48.4453,2.20135e+09
