gimnasios,paradas,mochila,distancia,cantciclos
5,5,6,58.5692,29227.4
5,5,6,44.8622,20058.6
5,5,6,30.7296,34942.2
5,5,6,46.0478,19937.6
5,5,6,43.7478,21623
5,5,6,47.7798,19482.6
5,5,6,38.2411,19997.1
5,5,6,43.4782,27313.1
5,5,6,44.9394,21499.4
5,5,6,57.3287,22124.6
5,5,6,54.8345,20713.6
5,5,6,60.5774,23377.7
5,5,6,55.0631,21096.2
5,5,6,41.7403,21001.1
5,5,6,40.5667,20988.1
5,5,6,49.0249,21900.4
5,5,6,49.7555,20937.9
5,5,6,82.5207,21594.9
5,5,6,42.0076,21452.6
5,5,6,41.7554,29700.7
5,5,6,54.2925,22344.7
5,5,6,52.1369,21916.8
5,5,6,69.7532,22517.8
5,5,6,46.3365,24754.3
5,5,6,61.1175,24845.5
5,5,6,57.4976,26280.4
5,5,6,64.1731,21017.2
5,5,6,41.8047,21812.5
5,5,6,53.5584,23749.8
5,5,6,50.8112,23066.7
5,5,6,49.3377,20891.1
5,5,6,46.9467,20715.7
5,5,6,64.3646,23823.3
5,5,6,83.1007,24185.4
5,5,6,53.1123,22590.5
5,5,6,62.6323,26253.3
5,5,6,36.1449,21602.5
5,5,6,58.9508,21796.8
5,5,6,82.8951,31264.1
5,5,6,68.8231,23071.4
5,5,6,101.991,23833.8
5,5,6,44.7953,24038
5,5,6,79.3284,22603.4
5,5,6,76.6198,22628.8
5,5,6,102.121,32262.9
5,5,6,60.9709,26255.1
5,5,6,102.602,28303.9
5,5,6,37.0615,22924.4
5,5,6,59.964,31577.2
5,5,6,77.0699,39438.8
5,5,6,110.255,30745.9
5,5,6,115.827,31149.6
5,5,6,92.2567,24383.9
5,5,6,123.426,30529.8
5,5,6,50.3401,30518.1
5,5,6,76.5976,24803.9
5,5,6,64.4618,27771
5,5,6,105.215,22320.6
5,5,6,68.7243,30744.7
5,5,6,93.9984,31754.9
5,5,6,183.38,33130.4
5,5,6,94.9874,22146.6
5,5,6,89.0172,26566.4
5,5,6,106.154,32749.6
5,5,6,134.03,22063.5
5,5,6,72.8937,21410.4
5,5,6,92.8326,21485.4
5,5,6,73.4451,21531.1
5,5,6,82.8451,25832.9
5,5,6,113.443,28398.9
5,5,6,164.908,39395.4
5,5,6,81.7454,47435.3
5,5,6,90.5419,49502.4
5,5,6,108.064,48124.5
5,5,6,84.4794,28717.7
5,5,6,107.68,47142.4
5,5,6,93.8221,28372
5,5,6,75.529,40467.1
5,5,6,87.3545,32841.4
5,5,6,94.3543,37504.9
5,5,6,102.285,37437.1
5,5,6,133.364,36100.7
5,5,6,121.648,41490.6
5,5,6,103.537,40472
5,5,6,119.214,31313.7
5,5,6,91.3575,21571.2
5,5,6,195.275,22156.1
5,5,6,70.8696,22529.2
5,5,6,136.071,22041
5,5,6,123.487,39004.5
5,5,6,177.396,34718.3
5,5,6,82.5764,44998.7
5,5,6,137.143,33691.7
5,5,6,145.238,35118.3
5,5,6,104.39,37023.2
5,5,6,133.836,29230.6
5,5,6,0,34230.9
5,5,6,78.501,38426.9
5,5,6,90.1929,35133.9
5,5,6,116.071,42013.5
