cantGimnasios,cantPokeparadas,tamMochila,distancia,tamCamino,tiempo
0,0,12,0,0,5258.6
1,0,12,0,1,6893.9
2,0,12,774,2,13758.1
3,0,12,706,3,29899.2
4,0,12,1118,4,83577.4
3,2,12,828,4,110244
1,5,12,533,2,103019
6,1,12,1111,6,1.76401e+06
5,3,12,1705,6,1.50739e+07
6,3,12,1436,8,1.59547e+07
7,3,12,853,8,1.69217e+07
5,6,12,1545,8,1.32039e+08
2,10,12,783,5,1.46562e+07
7,6,12,2356,10,2.98356e+09
2,12,12,666,5,1.20299e+07
10,5,12,2108,12,8.00413e+10
10,6,12,2085,11,3.08508e+11
7,10,12,2176,13,5.94652e+10
1,17,12,480,5,1.16368e+07
