cantGimnasios,cantPokeparadas,tamMochila,distanciaOriginal,distanciaNueva,cantPermutacionesParaMejorar,cantPermutacionesParaMantener,cantReemplazosParaMejorar,cantReemplazosParaMantener,tamCamino,tiempo
0,0,12,0,0,0,0,0,0,0,0
1,0,12,0,0,0,0,0,0,1,453.48
2,0,12,774,774,0,2,0,0,2,3243.52
3,0,12,706,706,0,2,0,0,3,5665.8
4,0,12,1118,1118,0,0,0,0,4,3500.9
3,2,12,1167,1167,0,0,0,0,4,3600.54
1,5,12,533,533,0,0,0,0,2,982.18
6,1,12,1111,1111,0,0,0,0,6,8201.6
5,3,12,1890,1788,1,0,0,0,6,9089.9
6,3,12,2100,2089,1,0,0,0,8,16614.3
7,3,12,853,853,0,0,0,0,8,15377.9
5,6,12,1922,1922,0,0,0,0,8,15477.4
2,10,12,1028,783,1,0,0,0,5,6113.52
7,6,12,3924,3521,4,0,0,0,10,42087.4
2,12,12,666,666,0,0,0,0,5,6006.96
10,5,12,2318,2180,3,0,0,0,12,64136.3
10,6,12,2145,2108,2,0,0,0,11,39954.4
7,10,12,2978,2606,4,0,0,0,12,70194.9
1,17,12,579,570,1,0,0,0,5,6036
