cantGimnasios,cantPokeparadas,tamMochila,distancia,tamCamino,tiempo
0,0,0,0,0,5365.7
1,0,0,0,1,7098.2
2,0,0,102,2,14201.8
3,0,0,447,3,31596.3
4,0,0,509,4,91759.4
3,2,3,703,4,122149
1,5,2,532,2,328177
6,1,0,1113,6,3.04454e+06
5,3,2,1312,6,3.0269e+06
6,3,4,1249,8,1.52479e+07
7,3,3,1271,8,1.09831e+07
5,6,9,1503,8,2.56384e+08
2,10,8,951,5,2.84173e+08
7,6,7,1834,10,2.81231e+09
2,12,9,774,5,2.00177e+09
10,5,5,1695,12,2.8653e+10
10,6,1,1390,11,9.57326e+09
7,10,14,1378,12,4.17404e+10
1,17,10,561,5,4.67518e+09
