cantGimnasios,cantPokeparadas,tamMochila,distanciaOriginal,distanciaNueva,cantPermutacionesParaMejorar,cantPermutacionesParaMantener,cantReemplazosParaMejorar,cantReemplazosParaMantener,tamCamino,tiempo
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,449.1
2,0,0,102,102,0,2,0,0,2,3147.8
3,0,0,447,447,0,2,0,0,3,5610.44
4,0,0,509,509,0,0,0,0,4,3406.6
3,2,3,703,703,0,0,0,0,4,3405.04
1,5,2,532,532,0,0,0,0,2,973.36
6,1,0,1147,1147,0,0,0,0,6,8116
5,3,2,1494,1362,2,0,0,0,6,10329.5
6,3,4,2347,1249,5,0,0,0,8,24565.8
7,3,3,1271,1271,0,0,0,0,8,14464.5
5,6,9,4443,1674,8,0,0,0,8,28733.2
2,10,8,1670,1224,1,0,0,0,5,6092.38
7,6,7,3690,2501,9,0,0,0,10,41257.9
2,12,9,1659,815,5,0,0,0,5,9233.04
10,5,5,3223,2126,4,0,0,0,12,53013.8
10,6,1,1446,1390,3,0,0,0,11,46805.4
7,10,14,4779,2656,8,0,0,0,12,45899.1
1,17,10,667,667,1,0,0,0,5,6202.02
