cantGimnasios,cantPokeparadas,tamMochila,distanciaOriginal,distanciaNueva,cantPermutacionesParaMejorar,cantPermutacionesParaMantener,cantReemplazosParaMejorar,cantReemplazosParaMantener,tamCamino,tiempo
0,0,12,0,0,0,0,0,0,0,0
1,0,12,-1,-1,0,0,0,0,0,0
2,0,12,-1,-1,0,0,0,0,0,0
3,0,12,-1,-1,0,0,0,0,0,0
4,0,12,-1,-1,0,0,0,0,0,0
3,2,12,1167,1167,0,0,0,0,4,3533.92
1,5,12,533,533,0,0,0,0,2,941.61
6,1,12,1399,1399,0,0,0,0,7,10889.4
5,3,12,1890,1788,1,0,0,0,6,8194.89
6,3,12,2100,2089,1,0,0,0,8,15950.5
7,3,12,853,853,0,0,0,0,8,14882.8
5,6,12,1922,1922,0,0,0,0,8,15448
2,10,12,1028,783,1,0,0,0,5,5960.08
7,6,12,3924,3521,4,0,0,0,10,40088
2,12,12,666,666,0,0,0,0,5,5414.75
10,5,12,2318,2180,3,0,0,0,12,61657.2
10,6,12,2145,2108,2,0,0,0,11,41821.7
7,10,12,2978,2606,4,0,0,0,12,72033.8
1,17,12,579,570,1,0,0,0,5,6098.35
