cantGimnasios,cantPokeparadas,tamMochila,distanciaOriginal,distanciaNueva,cantPermutacionesParaMejorar,cantPermutacionesParaMantener,cantReemplazosParaMejorar,cantReemplazosParaMantener,tamCamino,tiempo
0,0,12,0,0,0,0,0,0,0,0
1,0,12,-1,-1,0,0,0,0,0,0
2,0,12,-1,-1,0,0,0,0,0,0
3,0,12,-1,-1,0,0,0,0,0,0
4,0,12,-1,-1,0,0,0,0,0,0
3,2,12,1167,1167,0,0,0,0,4,1207.26
1,5,12,533,533,0,0,0,0,2,2776.9
6,1,12,1399,1399,0,0,0,0,7,607.21
5,3,12,1890,1890,0,0,0,0,6,1811.89
6,3,12,2100,2100,0,0,0,0,8,2359.21
7,3,12,853,853,0,0,0,0,8,1934.62
5,6,12,1922,1922,0,0,0,0,8,6849.96
2,10,12,1028,1028,0,0,0,0,5,12686.2
7,6,12,3924,3924,0,0,0,0,10,6967.23
2,12,12,666,666,0,0,0,0,5,14903.1
10,5,12,2318,2318,0,0,0,0,12,4411.84
10,6,12,2145,2145,0,0,0,0,11,3796.03
7,10,12,2978,2928,2,0,0,0,12,21332.1
1,17,12,579,480,1,0,2,0,5,32968.2
