cantGimnasios,cantPokeparadas,tamMochila,distanciaOriginal,distanciaNueva,cantPermutacionesParaMejorar,cantPermutacionesParaMantener,cantReemplazosParaMejorar,cantReemplazosParaMantener,tamCamino,tiempo
0,0,0,0,0,0,0,0,0,0,0
1,0,0,-1,-1,0,0,0,0,0,0
2,0,0,-1,-1,0,0,0,0,0,0
3,0,0,-1,-1,0,0,0,0,0,0
4,0,0,-1,-1,0,0,0,0,0,0
3,2,3,703,703,0,0,0,0,4,6396.92
1,5,2,532,532,0,0,0,0,2,2037.52
6,1,0,1935,1710,1,0,0,0,7,26604.1
5,3,2,1494,1362,2,0,0,0,6,12086
6,3,4,2347,1249,5,0,0,0,8,26854.9
7,3,3,1271,1271,0,0,0,0,8,16088.9
5,6,9,4443,1674,8,0,0,0,8,36740.9
2,10,8,1670,1224,1,0,0,0,5,7737.35
7,6,7,3690,2501,9,0,0,0,10,52224.3
2,12,9,1659,815,5,0,0,0,5,8916.82
10,5,5,3223,2126,4,0,0,0,12,56160
10,6,1,1446,1390,3,0,0,0,11,54175.8
7,10,14,4779,2656,8,0,0,0,12,49927.3
1,17,10,667,667,1,0,0,0,5,6706.33
