cantGimnasios,cantPokeparadas,tamMochila,distanciaOriginal,distanciaNueva,cantPermutacionesParaMejorar,cantPermutacionesParaMantener,cantReemplazosParaMejorar,cantReemplazosParaMantener,tamCamino,tiempo
0,0,0,0,0,0,0,0,0,0,0
1,0,0,-1,-1,0,0,0,0,0,0
2,0,0,-1,-1,0,0,0,0,0,0
3,0,0,-1,-1,0,0,0,0,0,0
4,0,0,-1,-1,0,0,0,0,0,0
3,2,3,703,703,0,0,0,0,4,1264.95
1,5,2,532,532,0,0,0,0,2,3102.91
6,1,0,1935,1935,0,0,0,0,7,659.57
5,3,2,1494,1494,0,0,0,0,6,1949.63
6,3,4,2347,2347,0,0,0,0,8,2468.99
7,3,3,1271,1271,0,0,0,0,8,1938.34
5,6,9,4443,4406,1,0,0,0,8,8271.49
2,10,8,1670,1670,0,0,0,0,5,13399.8
7,6,7,3690,3690,0,0,0,0,10,6945.36
2,12,9,1659,1659,0,0,0,0,5,15755
10,5,5,3223,3201,0,0,2,0,12,5009.72
10,6,1,1446,1446,0,0,0,0,11,3902.67
7,10,14,4779,4759,1,0,1,0,12,25428.8
1,17,10,667,667,1,0,0,0,5,34032.2
