cantGimnasios,cantPokeparadas,tamMochila,distanciaOriginal,distanciaNueva,cantPermutacionesParaMejorar,cantPermutacionesParaMantener,cantReemplazosParaMejorar,cantReemplazosParaMantener,tamCamino,tiempo
84,613,12,19833,17948,76,0,0,0,231,1.87435e+08
89,775,12,22888,21314,65,0,0,0,238,2.0506e+08
80,486,12,20071,18193,81,0,0,0,215,1.67952e+08
25,148,12,9847,8912,24,0,0,0,65,5.54025e+06
67,396,12,20382,18896,69,0,0,0,182,1.02894e+08
28,148,12,11811,11254,21,0,0,0,68,5.50334e+06
11,84,12,5298,4846,10,0,0,0,32,407371
49,471,12,15694,14640,41,2,0,0,130,4.83877e+07
85,569,12,23251,21454,84,0,0,0,233,2.32814e+08
5,21,12,3559,2619,7,0,0,0,12,48433.8
46,285,12,14340,13129,49,0,0,0,121,3.21359e+07
26,187,12,9842,9218,27,0,0,0,77,8.2652e+06
50,454,12,14579,13699,44,0,0,0,136,5.06854e+07
40,290,12,14572,13203,45,0,0,0,98,1.79887e+07
60,622,12,19128,18216,45,0,0,0,183,6.72311e+07
46,312,12,13005,12430,27,0,0,0,128,2.49321e+07
14,133,12,7063,6354,17,0,0,0,37,2.52714e+06
97,627,12,25106,23301,86,0,0,0,258,2.82969e+08
92,754,12,23406,21443,112,0,0,0,263,3.10428e+08
23,147,12,10064,8179,18,0,0,0,60,2.62173e+06
2,17,12,848,848,0,0,0,0,5,5418.36
97,1004,12,24727,23223,87,0,0,0,274,2.94576e+08
98,742,12,24656,22205,92,0,0,0,256,2.62195e+08
38,269,12,15136,13679,44,0,0,0,103,2.80056e+07
49,437,12,16372,15158,55,0,0,0,133,5.80445e+07
100,769,12,22733,21116,85,0,0,0,253,2.898e+08
35,228,12,11673,10673,26,0,0,0,84,1.02614e+07
14,58,12,7463,6581,14,0,0,0,32,787642
11,99,12,5583,5160,10,0,0,0,29,619732
35,378,12,11974,11455,27,0,0,0,100,1.24793e+07
