cantGimnasios,cantPokeparadas,tamMochila,distanciaOriginal,distanciaNueva,cantPermutacionesParaMejorar,cantPermutacionesParaMantener,cantReemplazosParaMejorar,cantReemplazosParaMantener,tamCamino,tiempo
77,591,12,13202,9541,49,0,174,0,221,650314081
77,591,12,13202,9541,49,0,174,0,221,648474103
77,591,12,13202,9541,49,0,174,0,221,648376940
77,591,12,13202,9541,49,0,174,0,221,653395669
77,591,12,13202,9541,49,0,174,0,221,652943725
77,591,12,13202,9541,49,0,174,0,221,653203014
77,591,12,13202,9541,49,0,174,0,221,842319342
77,591,12,13202,9541,49,0,174,0,221,710974002
77,591,12,13202,9541,49,0,174,0,221,648642237
77,591,12,13202,9541,49,0,174,0,221,648587568
77,591,12,13202,9541,49,0,174,0,221,654097274
77,591,12,13202,9541,49,0,174,0,221,652922674
77,591,12,13202,9541,49,0,174,0,221,649923355
77,591,12,13202,9541,49,0,174,0,221,647885502
77,591,12,13202,9541,49,0,174,0,221,647676980
77,591,12,13202,9541,49,0,174,0,221,647860771
77,591,12,13202,9541,49,0,174,0,221,647867371
77,591,12,13202,9541,49,0,174,0,221,648036351
77,591,12,13202,9541,49,0,174,0,221,648088506
77,591,12,13202,9541,49,0,174,0,221,647964209
77,591,12,13202,9541,49,0,174,0,221,647664344
77,591,12,13202,9541,49,0,174,0,221,649973033
77,591,12,13202,9541,49,0,174,0,221,647690189
77,591,12,13202,9541,49,0,174,0,221,647799410
77,591,12,13202,9541,49,0,174,0,221,647840193
77,591,12,13202,9541,49,0,174,0,221,647603461
77,591,12,13202,9541,49,0,174,0,221,647717514
77,591,12,13202,9541,49,0,174,0,221,647723344
77,591,12,13202,9541,49,0,174,0,221,647865938
77,591,12,13202,9541,49,0,174,0,221,648104157
77,591,12,13202,9541,49,0,174,0,221,650246961
77,591,12,13202,9541,49,0,174,0,221,647926630
77,591,12,13202,9541,49,0,174,0,221,647718512
77,591,12,13202,9541,49,0,174,0,221,647751742
77,591,12,13202,9541,49,0,174,0,221,647791749
77,591,12,13202,9541,49,0,174,0,221,648022481
77,591,12,13202,9541,49,0,174,0,221,647752401
77,591,12,13202,9541,49,0,174,0,221,647913104
77,591,12,13202,9541,49,0,174,0,221,647621919
77,591,12,13202,9541,49,0,174,0,221,650644749
77,591,12,13202,9541,49,0,174,0,221,647857143
77,591,12,13202,9541,49,0,174,0,221,647849977
77,591,12,13202,9541,49,0,174,0,221,647882519
77,591,12,13202,9541,49,0,174,0,221,648989084
77,591,12,13202,9541,49,0,174,0,221,647673814
77,591,12,13202,9541,49,0,174,0,221,647979634
77,591,12,13202,9541,49,0,174,0,221,647934503
77,591,12,13202,9541,49,0,174,0,221,647687604
77,591,12,13202,9541,49,0,174,0,221,647916474
77,591,12,13202,9541,49,0,174,0,221,649698433
77,591,12,13202,9541,49,0,174,0,221,647763628
77,591,12,13202,9541,49,0,174,0,221,647672828
77,591,12,13202,9541,49,0,174,0,221,647787245
77,591,12,13202,9541,49,0,174,0,221,649054289
77,591,12,13202,9541,49,0,174,0,221,647765098
77,591,12,13202,9541,49,0,174,0,221,647652273
77,591,12,13202,9541,49,0,174,0,221,647754228
77,591,12,13202,9541,49,0,174,0,221,647612622
77,591,12,13202,9541,49,0,174,0,221,650028152
77,591,12,13202,9541,49,0,174,0,221,647658872
77,591,12,13202,9541,49,0,174,0,221,647984094
77,591,12,13202,9541,49,0,174,0,221,647552023
77,591,12,13202,9541,49,0,174,0,221,647695862
77,591,12,13202,9541,49,0,174,0,221,648172587
77,591,12,13202,9541,49,0,174,0,221,647650471
77,591,12,13202,9541,49,0,174,0,221,647670783
77,591,12,13202,9541,49,0,174,0,221,647564978
77,591,12,13202,9541,49,0,174,0,221,648037726
77,591,12,13202,9541,49,0,174,0,221,647575002
77,591,12,13202,9541,49,0,174,0,221,647689948
77,591,12,13202,9541,49,0,174,0,221,647843751
77,591,12,13202,9541,49,0,174,0,221,647679166
77,591,12,13202,9541,49,0,174,0,221,647793125
77,591,12,13202,9541,49,0,174,0,221,647762091
77,591,12,13202,9541,49,0,174,0,221,647558759
77,591,12,13202,9541,49,0,174,0,221,648020091
77,591,12,13202,9541,49,0,174,0,221,650384821
77,591,12,13202,9541,49,0,174,0,221,647719666
77,591,12,13202,9541,49,0,174,0,221,647537537
77,591,12,13202,9541,49,0,174,0,221,647864492
77,591,12,13202,9541,49,0,174,0,221,647872624
77,591,12,13202,9541,49,0,174,0,221,647726322
77,591,12,13202,9541,49,0,174,0,221,647529844
77,591,12,13202,9541,49,0,174,0,221,647668524
77,591,12,13202,9541,49,0,174,0,221,647635892
77,591,12,13202,9541,49,0,174,0,221,647607176
77,591,12,13202,9541,49,0,174,0,221,647791312
77,591,12,13202,9541,49,0,174,0,221,647796404
77,591,12,13202,9541,49,0,174,0,221,647644386
77,591,12,13202,9541,49,0,174,0,221,647697877
77,591,12,13202,9541,49,0,174,0,221,647932996
77,591,12,13202,9541,49,0,174,0,221,647804798
77,591,12,13202,9541,49,0,174,0,221,647727422
77,591,12,13202,9541,49,0,174,0,221,647956914
77,591,12,13202,9541,49,0,174,0,221,647877547
77,591,12,13202,9541,49,0,174,0,221,647609328
77,591,12,13202,9541,49,0,174,0,221,647954665
77,591,12,13202,9541,49,0,174,0,221,647914845
77,591,12,13202,9541,49,0,174,0,221,647749015
77,591,12,13202,9541,49,0,174,0,221,647659310
40,264,12,9043,6847,35,0,54,0,102,80740318
40,264,12,9043,6847,35,0,54,0,102,79335480
40,264,12,9043,6847,35,0,54,0,102,79262629
40,264,12,9043,6847,35,0,54,0,102,79257602
40,264,12,9043,6847,35,0,54,0,102,79206264
40,264,12,9043,6847,35,0,54,0,102,79343362
40,264,12,9043,6847,35,0,54,0,102,79255853
40,264,12,9043,6847,35,0,54,0,102,80907152
40,264,12,9043,6847,35,0,54,0,102,81162720
40,264,12,9043,6847,35,0,54,0,102,79247163
40,264,12,9043,6847,35,0,54,0,102,79254683
40,264,12,9043,6847,35,0,54,0,102,79263749
40,264,12,9043,6847,35,0,54,0,102,79263700
40,264,12,9043,6847,35,0,54,0,102,79317630
40,264,12,9043,6847,35,0,54,0,102,79295618
40,264,12,9043,6847,35,0,54,0,102,79681129
40,264,12,9043,6847,35,0,54,0,102,79282684
40,264,12,9043,6847,35,0,54,0,102,79299132
40,264,12,9043,6847,35,0,54,0,102,79251552
40,264,12,9043,6847,35,0,54,0,102,79216138
40,264,12,9043,6847,35,0,54,0,102,79368772
40,264,12,9043,6847,35,0,54,0,102,79245241
40,264,12,9043,6847,35,0,54,0,102,79770222
40,264,12,9043,6847,35,0,54,0,102,79279730
40,264,12,9043,6847,35,0,54,0,102,79284680
40,264,12,9043,6847,35,0,54,0,102,79347865
40,264,12,9043,6847,35,0,54,0,102,79210657
40,264,12,9043,6847,35,0,54,0,102,79284689
40,264,12,9043,6847,35,0,54,0,102,79264665
40,264,12,9043,6847,35,0,54,0,102,79267125
40,264,12,9043,6847,35,0,54,0,102,79993168
40,264,12,9043,6847,35,0,54,0,102,79285798
40,264,12,9043,6847,35,0,54,0,102,79201526
40,264,12,9043,6847,35,0,54,0,102,79388269
40,264,12,9043,6847,35,0,54,0,102,79279613
40,264,12,9043,6847,35,0,54,0,102,79198231
40,264,12,9043,6847,35,0,54,0,102,79235363
40,264,12,9043,6847,35,0,54,0,102,79589636
40,264,12,9043,6847,35,0,54,0,102,79384107
40,264,12,9043,6847,35,0,54,0,102,79362447
40,264,12,9043,6847,35,0,54,0,102,79222715
40,264,12,9043,6847,35,0,54,0,102,79244876
40,264,12,9043,6847,35,0,54,0,102,79237142
40,264,12,9043,6847,35,0,54,0,102,79350934
40,264,12,9043,6847,35,0,54,0,102,79236586
40,264,12,9043,6847,35,0,54,0,102,82108731
40,264,12,9043,6847,35,0,54,0,102,79667206
40,264,12,9043,6847,35,0,54,0,102,79440572
40,264,12,9043,6847,35,0,54,0,102,79243289
40,264,12,9043,6847,35,0,54,0,102,79242166
40,264,12,9043,6847,35,0,54,0,102,79318716
40,264,12,9043,6847,35,0,54,0,102,79236841
40,264,12,9043,6847,35,0,54,0,102,79483535
40,264,12,9043,6847,35,0,54,0,102,79466241
40,264,12,9043,6847,35,0,54,0,102,79403495
40,264,12,9043,6847,35,0,54,0,102,79285778
40,264,12,9043,6847,35,0,54,0,102,79286635
