cantGimnasios,cantPokeparadas,tamMochila,distanciaOriginal,distanciaNueva,cantPermutacionesParaMejorar,cantPermutacionesParaMantener,cantReemplazosParaMejorar,cantReemplazosParaMantener,tamCamino,tiempo
0,0,12,0,0,0,0,0,0,0,0
1,0,12,0,0,0,0,0,0,1,213.88
2,0,12,774,774,0,0,0,0,2,253.2
3,0,12,706,706,0,0,0,0,3,283.52
4,0,12,1118,1118,0,0,0,0,4,315.76
3,2,12,1167,1167,0,0,0,0,4,1138.34
1,5,12,533,533,0,0,0,0,2,2931.24
6,1,12,1111,1111,0,0,0,0,6,766.56
5,3,12,1890,1890,0,0,0,0,6,1791.1
6,3,12,2100,2100,0,0,0,0,8,3172.84
7,3,12,853,853,0,0,0,0,8,2007.28
5,6,12,1922,1922,0,0,0,0,8,6790.28
2,10,12,1028,1028,0,0,0,0,5,12955.6
7,6,12,3924,3924,0,0,0,0,10,7108
2,12,12,666,666,0,0,0,0,5,16260.3
10,5,12,2318,2318,0,0,0,0,12,4560.84
10,6,12,2145,2145,0,0,0,0,11,3949.52
7,10,12,2978,2928,2,0,0,0,12,23105.2
1,17,12,579,480,1,0,2,0,5,37797.8
