cantGimnasios,cantPokeparadas,tamMochila,distanciaOriginal,distanciaNueva,cantPermutacionesParaMejorar,cantPermutacionesParaMantener,cantReemplazosParaMejorar,cantReemplazosParaMantener,tamCamino,tiempo
10,77,12,5032,3383,8,0,25,0,30,2212141
10,77,12,5032,3383,8,0,25,0,30,2172790
10,77,12,5032,3383,8,0,25,0,30,2130395
10,77,12,5032,3383,8,0,25,0,30,2142852
10,77,12,5032,3383,8,0,25,0,30,2265830
10,77,12,5032,3383,8,0,25,0,30,2176038
10,77,12,5032,3383,8,0,25,0,30,2273388
10,77,12,5032,3383,8,0,25,0,30,2328241
10,77,12,5032,3383,8,0,25,0,30,2176433
10,77,12,5032,3383,8,0,25,0,30,2153349
10,77,12,5032,3383,8,0,25,0,30,2150920
10,77,12,5032,3383,8,0,25,0,30,2245793
10,77,12,5032,3383,8,0,25,0,30,2144799
10,77,12,5032,3383,8,0,25,0,30,2355808
10,77,12,5032,3383,8,0,25,0,30,2370002
10,77,12,5032,3383,8,0,25,0,30,2233561
10,77,12,5032,3383,8,0,25,0,30,2136033
10,77,12,5032,3383,8,0,25,0,30,2139939
10,77,12,5032,3383,8,0,25,0,30,2141341
10,77,12,5032,3383,8,0,25,0,30,2203956
10,77,12,5032,3383,8,0,25,0,30,2138770
10,77,12,5032,3383,8,0,25,0,30,2163271
10,77,12,5032,3383,8,0,25,0,30,2174006
10,77,12,5032,3383,8,0,25,0,30,2163917
10,77,12,5032,3383,8,0,25,0,30,2143031
10,77,12,5032,3383,8,0,25,0,30,2168223
10,77,12,5032,3383,8,0,25,0,30,2138977
10,77,12,5032,3383,8,0,25,0,30,2139781
10,77,12,5032,3383,8,0,25,0,30,2141226
10,77,12,5032,3383,8,0,25,0,30,2150914
10,77,12,5032,3383,8,0,25,0,30,2131052
10,77,12,5032,3383,8,0,25,0,30,2141217
10,77,12,5032,3383,8,0,25,0,30,2136073
10,77,12,5032,3383,8,0,25,0,30,2145088
10,77,12,5032,3383,8,0,25,0,30,2148059
10,77,12,5032,3383,8,0,25,0,30,2190190
10,77,12,5032,3383,8,0,25,0,30,2130193
10,77,12,5032,3383,8,0,25,0,30,2138872
10,77,12,5032,3383,8,0,25,0,30,2157856
10,77,12,5032,3383,8,0,25,0,30,2146827
10,77,12,5032,3383,8,0,25,0,30,2196015
10,77,12,5032,3383,8,0,25,0,30,2136340
10,77,12,5032,3383,8,0,25,0,30,2156457
10,77,12,5032,3383,8,0,25,0,30,2234502
10,77,12,5032,3383,8,0,25,0,30,2153432
10,77,12,5032,3383,8,0,25,0,30,2271907
10,77,12,5032,3383,8,0,25,0,30,2170990
10,77,12,5032,3383,8,0,25,0,30,2138286
10,77,12,5032,3383,8,0,25,0,30,2135037
10,77,12,5032,3383,8,0,25,0,30,2220475
10,77,12,5032,3383,8,0,25,0,30,2230616
10,77,12,5032,3383,8,0,25,0,30,2143602
10,77,12,5032,3383,8,0,25,0,30,2142738
10,77,12,5032,3383,8,0,25,0,30,2160023
10,77,12,5032,3383,8,0,25,0,30,2147627
10,77,12,5032,3383,8,0,25,0,30,2139164
10,77,12,5032,3383,8,0,25,0,30,2135112
10,77,12,5032,3383,8,0,25,0,30,2189707
10,77,12,5032,3383,8,0,25,0,30,2138797
10,77,12,5032,3383,8,0,25,0,30,2140337
10,77,12,5032,3383,8,0,25,0,30,2138833
10,77,12,5032,3383,8,0,25,0,30,2138002
10,77,12,5032,3383,8,0,25,0,30,2138386
10,77,12,5032,3383,8,0,25,0,30,2141221
10,77,12,5032,3383,8,0,25,0,30,2151090
10,77,12,5032,3383,8,0,25,0,30,2129180
10,77,12,5032,3383,8,0,25,0,30,2139295
10,77,12,5032,3383,8,0,25,0,30,2136126
10,77,12,5032,3383,8,0,25,0,30,2143100
10,77,12,5032,3383,8,0,25,0,30,2180045
10,77,12,5032,3383,8,0,25,0,30,2163876
10,77,12,5032,3383,8,0,25,0,30,2133425
10,77,12,5032,3383,8,0,25,0,30,2134858
10,77,12,5032,3383,8,0,25,0,30,2143863
10,77,12,5032,3383,8,0,25,0,30,2146553
10,77,12,5032,3383,8,0,25,0,30,2138756
10,77,12,5032,3383,8,0,25,0,30,2136172
10,77,12,5032,3383,8,0,25,0,30,2134704
10,77,12,5032,3383,8,0,25,0,30,2140791
10,77,12,5032,3383,8,0,25,0,30,2148288
10,77,12,5032,3383,8,0,25,0,30,2134733
10,77,12,5032,3383,8,0,25,0,30,2138828
10,77,12,5032,3383,8,0,25,0,30,2139489
10,77,12,5032,3383,8,0,25,0,30,2128559
10,77,12,5032,3383,8,0,25,0,30,2182388
10,77,12,5032,3383,8,0,25,0,30,2141451
10,77,12,5032,3383,8,0,25,0,30,2138146
10,77,12,5032,3383,8,0,25,0,30,2137361
10,77,12,5032,3383,8,0,25,0,30,2193619
10,77,12,5032,3383,8,0,25,0,30,2145595
10,77,12,5032,3383,8,0,25,0,30,2140361
10,77,12,5032,3383,8,0,25,0,30,2170058
10,77,12,5032,3383,8,0,25,0,30,2248423
10,77,12,5032,3383,8,0,25,0,30,2170872
10,77,12,5032,3383,8,0,25,0,30,2147155
10,77,12,5032,3383,8,0,25,0,30,2140038
10,77,12,5032,3383,8,0,25,0,30,2252894
10,77,12,5032,3383,8,0,25,0,30,2143204
10,77,12,5032,3383,8,0,25,0,30,2141868
10,77,12,5032,3383,8,0,25,0,30,2213134
10,14,12,5703,4394,6,0,6,0,18,98221
10,14,12,5703,4394,6,0,6,0,18,106846
10,14,12,5703,4394,6,0,6,0,18,106231
10,14,12,5703,4394,6,0,6,0,18,106222
10,14,12,5703,4394,6,0,6,0,18,105280
10,14,12,5703,4394,6,0,6,0,18,105472
10,14,12,5703,4394,6,0,6,0,18,105470
10,14,12,5703,4394,6,0,6,0,18,105446
10,14,12,5703,4394,6,0,6,0,18,96595
10,14,12,5703,4394,6,0,6,0,18,86156
10,14,12,5703,4394,6,0,6,0,18,85674
10,14,12,5703,4394,6,0,6,0,18,85757
10,14,12,5703,4394,6,0,6,0,18,85916
10,14,12,5703,4394,6,0,6,0,18,86318
10,14,12,5703,4394,6,0,6,0,18,86326
10,14,12,5703,4394,6,0,6,0,18,85619
10,14,12,5703,4394,6,0,6,0,18,85675
10,14,12,5703,4394,6,0,6,0,18,85891
10,14,12,5703,4394,6,0,6,0,18,86121
10,14,12,5703,4394,6,0,6,0,18,86012
10,14,12,5703,4394,6,0,6,0,18,85637
10,14,12,5703,4394,6,0,6,0,18,85797
10,14,12,5703,4394,6,0,6,0,18,89788
10,14,12,5703,4394,6,0,6,0,18,86175
10,14,12,5703,4394,6,0,6,0,18,85935
10,14,12,5703,4394,6,0,6,0,18,85730
10,14,12,5703,4394,6,0,6,0,18,85730
10,14,12,5703,4394,6,0,6,0,18,86186
10,14,12,5703,4394,6,0,6,0,18,85906
10,14,12,5703,4394,6,0,6,0,18,86285
10,14,12,5703,4394,6,0,6,0,18,86176
10,14,12,5703,4394,6,0,6,0,18,86050
10,14,12,5703,4394,6,0,6,0,18,85940
10,14,12,5703,4394,6,0,6,0,18,92382
10,14,12,5703,4394,6,0,6,0,18,85542
10,14,12,5703,4394,6,0,6,0,18,86024
10,14,12,5703,4394,6,0,6,0,18,86230
10,14,12,5703,4394,6,0,6,0,18,86092
10,14,12,5703,4394,6,0,6,0,18,85815
10,14,12,5703,4394,6,0,6,0,18,85634
10,14,12,5703,4394,6,0,6,0,18,85840
10,14,12,5703,4394,6,0,6,0,18,85654
10,14,12,5703,4394,6,0,6,0,18,85647
10,14,12,5703,4394,6,0,6,0,18,86072
10,14,12,5703,4394,6,0,6,0,18,85448
10,14,12,5703,4394,6,0,6,0,18,85976
10,14,12,5703,4394,6,0,6,0,18,86075
10,14,12,5703,4394,6,0,6,0,18,85776
10,14,12,5703,4394,6,0,6,0,18,85858
10,14,12,5703,4394,6,0,6,0,18,85862
10,14,12,5703,4394,6,0,6,0,18,85582
10,14,12,5703,4394,6,0,6,0,18,85832
10,14,12,5703,4394,6,0,6,0,18,85533
10,14,12,5703,4394,6,0,6,0,18,85514
10,14,12,5703,4394,6,0,6,0,18,91515
10,14,12,5703,4394,6,0,6,0,18,85844
10,14,12,5703,4394,6,0,6,0,18,85818
10,14,12,5703,4394,6,0,6,0,18,86072
10,14,12,5703,4394,6,0,6,0,18,85711
10,14,12,5703,4394,6,0,6,0,18,85965
10,14,12,5703,4394,6,0,6,0,18,85840
10,14,12,5703,4394,6,0,6,0,18,85550
10,14,12,5703,4394,6,0,6,0,18,86147
10,14,12,5703,4394,6,0,6,0,18,86018
10,14,12,5703,4394,6,0,6,0,18,88379
10,14,12,5703,4394,6,0,6,0,18,86109
10,14,12,5703,4394,6,0,6,0,18,85694
10,14,12,5703,4394,6,0,6,0,18,96783
10,14,12,5703,4394,6,0,6,0,18,86508
10,14,12,5703,4394,6,0,6,0,18,86132
10,14,12,5703,4394,6,0,6,0,18,92043
10,14,12,5703,4394,6,0,6,0,18,85871
10,14,12,5703,4394,6,0,6,0,18,85861
10,14,12,5703,4394,6,0,6,0,18,85695
10,14,12,5703,4394,6,0,6,0,18,85851
10,14,12,5703,4394,6,0,6,0,18,85960
10,14,12,5703,4394,6,0,6,0,18,85901
10,14,12,5703,4394,6,0,6,0,18,85510
10,14,12,5703,4394,6,0,6,0,18,86127
10,14,12,5703,4394,6,0,6,0,18,86194
10,14,12,5703,4394,6,0,6,0,18,85707
10,14,12,5703,4394,6,0,6,0,18,85892
10,14,12,5703,4394,6,0,6,0,18,85612
10,14,12,5703,4394,6,0,6,0,18,86297
10,14,12,5703,4394,6,0,6,0,18,86598
10,14,12,5703,4394,6,0,6,0,18,86204
10,14,12,5703,4394,6,0,6,0,18,92022
10,14,12,5703,4394,6,0,6,0,18,85792
10,14,12,5703,4394,6,0,6,0,18,85960
10,14,12,5703,4394,6,0,6,0,18,85915
10,14,12,5703,4394,6,0,6,0,18,85673
