cantGimnasios,cantPokeparadas,tamMochila,distanciaOriginal,distanciaNueva,cantPermutacionesParaMejorar,cantPermutacionesParaMantener,cantReemplazosParaMejorar,cantReemplazosParaMantener,tamCamino,tiempo
16,10,12,3569,3411,0,0,2,0,19,22833
16,10,12,3569,3411,0,0,2,0,19,19463
16,10,12,3569,3411,0,0,2,0,19,19221
16,10,12,3569,3411,0,0,2,0,19,18654
16,10,12,3569,3411,0,0,2,0,19,18689
16,10,12,3569,3411,0,0,2,0,19,23931
16,10,12,3569,3411,0,0,2,0,19,18929
16,10,12,3569,3411,0,0,2,0,19,18645
16,10,12,3569,3411,0,0,2,0,19,18479
16,10,12,3569,3411,0,0,2,0,19,18496
16,10,12,3569,3411,0,0,2,0,19,18517
16,10,12,3569,3411,0,0,2,0,19,18579
16,10,12,3569,3411,0,0,2,0,19,18505
16,10,12,3569,3411,0,0,2,0,19,18495
16,10,12,3569,3411,0,0,2,0,19,18720
16,10,12,3569,3411,0,0,2,0,19,18528
16,10,12,3569,3411,0,0,2,0,19,18537
16,10,12,3569,3411,0,0,2,0,19,18577
16,10,12,3569,3411,0,0,2,0,19,18463
16,10,12,3569,3411,0,0,2,0,19,18490
16,10,12,3569,3411,0,0,2,0,19,18533
16,10,12,3569,3411,0,0,2,0,19,18456
16,10,12,3569,3411,0,0,2,0,19,18610
16,10,12,3569,3411,0,0,2,0,19,18475
16,10,12,3569,3411,0,0,2,0,19,18635
16,10,12,3569,3411,0,0,2,0,19,18589
16,10,12,3569,3411,0,0,2,0,19,18556
16,10,12,3569,3411,0,0,2,0,19,18407
16,10,12,3569,3411,0,0,2,0,19,18546
16,10,12,3569,3411,0,0,2,0,19,18444
16,10,12,3569,3411,0,0,2,0,19,18504
16,10,12,3569,3411,0,0,2,0,19,18617
16,10,12,3569,3411,0,0,2,0,19,18593
16,10,12,3569,3411,0,0,2,0,19,18450
16,10,12,3569,3411,0,0,2,0,19,18562
16,10,12,3569,3411,0,0,2,0,19,18662
16,10,12,3569,3411,0,0,2,0,19,18392
16,10,12,3569,3411,0,0,2,0,19,18479
16,10,12,3569,3411,0,0,2,0,19,18564
16,10,12,3569,3411,0,0,2,0,19,18564
16,10,12,3569,3411,0,0,2,0,19,18444
16,10,12,3569,3411,0,0,2,0,19,18568
16,10,12,3569,3411,0,0,2,0,19,18518
16,10,12,3569,3411,0,0,2,0,19,18540
16,10,12,3569,3411,0,0,2,0,19,18526
16,10,12,3569,3411,0,0,2,0,19,18623
16,10,12,3569,3411,0,0,2,0,19,18788
16,10,12,3569,3411,0,0,2,0,19,18413
16,10,12,3569,3411,0,0,2,0,19,18474
16,10,12,3569,3411,0,0,2,0,19,18551
16,10,12,3569,3411,0,0,2,0,19,18534
16,10,12,3569,3411,0,0,2,0,19,18433
16,10,12,3569,3411,0,0,2,0,19,18739
16,10,12,3569,3411,0,0,2,0,19,18622
16,10,12,3569,3411,0,0,2,0,19,18520
16,10,12,3569,3411,0,0,2,0,19,18552
16,10,12,3569,3411,0,0,2,0,19,18705
16,10,12,3569,3411,0,0,2,0,19,18469
