cantGimnasios,cantPokeparadas,tamMochila,distanciaOriginal,distanciaNueva,cantPermutacionesParaMejorar,cantPermutacionesParaMantener,cantReemplazosParaMejorar,cantReemplazosParaMantener,tamCamino,tiempo
84,613,441,73852,17377,1289,0,0,0,231,1.48001e+09
89,775,446,76869,14970,1582,0,0,0,238,2.08008e+09
80,486,403,69218,14891,1391,0,0,0,215,1.58045e+09
25,148,119,21019,7223,176,0,0,0,65,1.27178e+07
67,396,343,55377,16757,1089,0,0,0,182,8.34978e+08
28,148,120,23858,8221,234,0,0,0,68,2.1999e+07
11,84,61,12315,4924,72,0,0,0,32,1.961e+06
49,471,241,42000,12103,639,0,0,0,130,2.47013e+08
85,569,442,78114,16273,1816,0,0,0,233,2.17222e+09
5,21,19,4966,2345,13,0,0,0,12,82402.2
46,285,223,40937,12179,573,0,0,0,121,1.66124e+08
26,187,151,25438,10220,232,0,0,0,77,3.49648e+07
50,454,258,45842,12088,757,0,0,0,136,2.85344e+08
40,290,174,34998,9786,423,0,0,0,98,7.70969e+07
60,622,367,53071,13049,1115,0,0,0,183,7.41538e+08
46,312,244,44986,11559,671,0,0,0,128,1.91668e+08
14,133,68,12666,4647,105,0,0,0,37,2.47593e+06
97,627,482,90754,19259,1994,0,0,0,258,2.88876e+09
92,754,513,83725,16619,2044,0,0,0,263,3.44366e+09
23,147,110,21502,6829,231,0,0,0,60,1.87822e+07
2,17,9,1509,623,4,0,0,0,5,11065.4
97,1004,529,83723,18711,2193,0,0,0,274,3.8249e+09
98,742,472,85673,18039,1529,0,0,0,256,2.94455e+09
38,269,195,32038,11334,425,0,0,0,103,1.26249e+08
49,437,252,42293,11454,813,0,0,0,133,3.99262e+08
100,769,457,80896,19396,1968,0,0,0,253,2.98616e+09
35,228,147,27549,8178,298,0,0,0,84,3.43771e+07
14,58,53,12702,5190,75,0,0,0,32,1.16991e+06
11,99,52,10873,3733,85,0,0,0,29,1.78788e+06
35,378,195,32514,9052,457,0,0,0,100,1.20882e+08
