cantGimnasios,cantPokeparadas,tamMochila,distanciaOriginal,distanciaNueva,cantPermutacionesParaMejorar,cantPermutacionesParaMantener,cantReemplazosParaMejorar,cantReemplazosParaMantener,tamCamino,tiempo
77,591,431,75234,68804,420,0,35,0,221,737425002
77,591,431,75234,68804,420,0,35,0,221,709783461
77,591,431,75234,68804,420,0,35,0,221,726524460
77,591,431,75234,68804,420,0,35,0,221,721226623
77,591,431,75234,68804,420,0,35,0,221,764908252
77,591,431,75234,68804,420,0,35,0,221,737326826
77,591,431,75234,68804,420,0,35,0,221,705844591
77,591,431,75234,68804,420,0,35,0,221,852251784
77,591,431,75234,68804,420,0,35,0,221,803396430
77,591,431,75234,68804,420,0,35,0,221,738818424
77,591,431,75234,68804,420,0,35,0,221,728984106
77,591,431,75234,68804,420,0,35,0,221,739042454
77,591,431,75234,68804,420,0,35,0,221,721214733
77,591,431,75234,68804,420,0,35,0,221,753438476
77,591,431,75234,68804,420,0,35,0,221,744884297
77,591,431,75234,68804,420,0,35,0,221,743261708
77,591,431,75234,68804,420,0,35,0,221,853415805
77,591,431,75234,68804,420,0,35,0,221,843788294
77,591,431,75234,68804,420,0,35,0,221,719024427
77,591,431,75234,68804,420,0,35,0,221,745294246
77,591,431,75234,68804,420,0,35,0,221,729414882
77,591,431,75234,68804,420,0,35,0,221,700143803
77,591,431,75234,68804,420,0,35,0,221,835472567
77,591,431,75234,68804,420,0,35,0,221,805542554
77,591,431,75234,68804,420,0,35,0,221,699616815
77,591,431,75234,68804,420,0,35,0,221,701556884
77,591,431,75234,68804,420,0,35,0,221,699668887
77,591,431,75234,68804,420,0,35,0,221,699481436
77,591,431,75234,68804,420,0,35,0,221,700693347
77,591,431,75234,68804,420,0,35,0,221,699701547
77,591,431,75234,68804,420,0,35,0,221,699387255
77,591,431,75234,68804,420,0,35,0,221,702902454
77,591,431,75234,68804,420,0,35,0,221,699334887
77,591,431,75234,68804,420,0,35,0,221,699844402
77,591,431,75234,68804,420,0,35,0,221,699750955
77,591,431,75234,68804,420,0,35,0,221,699277898
77,591,431,75234,68804,420,0,35,0,221,699635294
77,591,431,75234,68804,420,0,35,0,221,700178213
77,591,431,75234,68804,420,0,35,0,221,699874119
77,591,431,75234,68804,420,0,35,0,221,699977543
77,591,431,75234,68804,420,0,35,0,221,778721703
77,591,431,75234,68804,420,0,35,0,221,699346875
77,591,431,75234,68804,420,0,35,0,221,700614090
77,591,431,75234,68804,420,0,35,0,221,699513980
77,591,431,75234,68804,420,0,35,0,221,712240371
77,591,431,75234,68804,420,0,35,0,221,721570068
77,591,431,75234,68804,420,0,35,0,221,705035610
77,591,431,75234,68804,420,0,35,0,221,709439137
77,591,431,75234,68804,420,0,35,0,221,707363009
77,591,431,75234,68804,420,0,35,0,221,705007043
77,591,431,75234,68804,420,0,35,0,221,720193123
77,591,431,75234,68804,420,0,35,0,221,714535221
77,591,431,75234,68804,420,0,35,0,221,701450017
77,591,431,75234,68804,420,0,35,0,221,721707175
77,591,431,75234,68804,420,0,35,0,221,709878333
77,591,431,75234,68804,420,0,35,0,221,708874757
77,591,431,75234,68804,420,0,35,0,221,743081892
77,591,431,75234,68804,420,0,35,0,221,702806160
77,591,431,75234,68804,420,0,35,0,221,699875897
77,591,431,75234,68804,420,0,35,0,221,701321346
77,591,431,75234,68804,420,0,35,0,221,700346864
77,591,431,75234,68804,420,0,35,0,221,699460161
77,591,431,75234,68804,420,0,35,0,221,699587673
77,591,431,75234,68804,420,0,35,0,221,699582270
77,591,431,75234,68804,420,0,35,0,221,699804661
77,591,431,75234,68804,420,0,35,0,221,699447127
77,591,431,75234,68804,420,0,35,0,221,699789845
77,591,431,75234,68804,420,0,35,0,221,703661366
77,591,431,75234,68804,420,0,35,0,221,700239563
77,591,431,75234,68804,420,0,35,0,221,699419168
77,591,431,75234,68804,420,0,35,0,221,699691170
77,591,431,75234,68804,420,0,35,0,221,699636387
77,591,431,75234,68804,420,0,35,0,221,699569147
77,591,431,75234,68804,420,0,35,0,221,699897626
77,591,431,75234,68804,420,0,35,0,221,702365740
77,591,431,75234,68804,420,0,35,0,221,699815821
77,591,431,75234,68804,420,0,35,0,221,699480301
77,591,431,75234,68804,420,0,35,0,221,701049391
77,591,431,75234,68804,420,0,35,0,221,699768988
77,591,431,75234,68804,420,0,35,0,221,699636343
77,591,431,75234,68804,420,0,35,0,221,699707715
77,591,431,75234,68804,420,0,35,0,221,700300448
77,591,431,75234,68804,420,0,35,0,221,702801576
77,591,431,75234,68804,420,0,35,0,221,699742980
77,591,431,75234,68804,420,0,35,0,221,699300544
77,591,431,75234,68804,420,0,35,0,221,699904750
77,591,431,75234,68804,420,0,35,0,221,699417370
77,591,431,75234,68804,420,0,35,0,221,699868972
77,591,431,75234,68804,420,0,35,0,221,699708061
77,591,431,75234,68804,420,0,35,0,221,699700951
77,591,431,75234,68804,420,0,35,0,221,699665395
77,591,431,75234,68804,420,0,35,0,221,702464583
77,591,431,75234,68804,420,0,35,0,221,699468583
77,591,431,75234,68804,420,0,35,0,221,699756161
77,591,431,75234,68804,420,0,35,0,221,699657912
77,591,431,75234,68804,420,0,35,0,221,699696312
77,591,431,75234,68804,420,0,35,0,221,699493269
77,591,431,75234,68804,420,0,35,0,221,699782892
77,591,431,75234,68804,420,0,35,0,221,699678573
77,591,431,75234,68804,420,0,35,0,221,702554409
40,264,186,30936,28865,121,0,12,0,102,51223620
40,264,186,30936,28865,121,0,12,0,102,50701802
40,264,186,30936,28865,121,0,12,0,102,50846976
40,264,186,30936,28865,121,0,12,0,102,50672627
40,264,186,30936,28865,121,0,12,0,102,51154542
40,264,186,30936,28865,121,0,12,0,102,50865351
40,264,186,30936,28865,121,0,12,0,102,50806432
40,264,186,30936,28865,121,0,12,0,102,50721831
