cantGimnasios,cantPokeparadas,tamMochila,distancia,tamCamino,tiempo
1,0,0,0,1,11716
1,0,0,0,1,7267
1,0,0,0,1,6595
1,0,0,0,1,6945
1,0,0,0,1,19772
1,0,0,0,1,6233
1,0,0,0,1,5982
1,0,0,0,1,5991
1,0,0,0,1,6174
1,0,0,0,1,6114
1,1,2,662,2,13529
1,1,2,662,2,11530
1,1,2,662,2,11629
1,1,2,662,2,22794
1,1,2,662,2,10613
1,1,2,662,2,10148
1,1,2,662,2,10235
1,1,2,662,2,10265
1,1,2,662,2,10645
1,1,2,662,2,10437
3,0,0,528,3,34451
3,0,0,528,3,44957
3,0,0,528,3,29817
3,0,0,528,3,29376
3,0,0,528,3,29808
3,0,0,528,3,30026
3,0,0,528,3,31185
3,0,0,528,3,29263
3,0,0,528,3,29657
3,0,0,528,3,30050
3,1,3,1223,4,44589
3,1,3,1223,4,49672
3,1,3,1223,4,36180
3,1,3,1223,4,47288
3,1,3,1223,4,53757
3,1,3,1223,4,41746
3,1,3,1223,4,39365
3,1,3,1223,4,35025
3,1,3,1223,4,34859
3,1,3,1223,4,35002
5,0,0,701,5,381150
5,0,0,701,5,378223
5,0,0,701,5,378462
5,0,0,701,5,384373
5,0,0,701,5,378225
5,0,0,701,5,376142
5,0,0,701,5,378447
5,0,0,701,5,376111
5,0,0,701,5,376475
5,0,0,701,5,373480
1,5,6,564,3,480535
1,5,6,564,3,461088
1,5,6,564,3,481603
1,5,6,564,3,494039
1,5,6,564,3,477552
1,5,6,564,3,461364
1,5,6,564,3,462433
1,5,6,564,3,461456
1,5,6,564,3,546450
1,5,6,564,3,501652
4,3,3,955,5,1057124
4,3,3,955,5,1011916
4,3,3,955,5,1151732
4,3,3,955,5,1109336
4,3,3,955,5,1120489
4,3,3,955,5,1131832
4,3,3,955,5,1040815
4,3,3,955,5,1050247
4,3,3,955,5,1074341
4,3,3,955,5,1182240
6,2,2,1323,7,3666484
6,2,2,1323,7,3829774
6,2,2,1323,7,4015692
6,2,2,1323,7,3509602
6,2,2,1323,7,3470851
6,2,2,1323,7,3630023
6,2,2,1323,7,3498223
6,2,2,1323,7,3744001
6,2,2,1323,7,3698369
6,2,2,1323,7,3547968
5,4,2,1212,6,14206770
5,4,2,1212,6,14545709
5,4,2,1212,6,14108004
5,4,2,1212,6,14577089
5,4,2,1212,6,13747871
5,4,2,1212,6,13727445
5,4,2,1212,6,13736647
5,4,2,1212,6,13732357
5,4,2,1212,6,13864269
5,4,2,1212,6,13796242
10,0,0,1271,10,501775764
10,0,0,1271,10,512944736
10,0,0,1271,10,502038003
10,0,0,1271,10,500787052
10,0,0,1271,10,499505997
10,0,0,1271,10,500168835
10,0,0,1271,10,502385743
10,0,0,1271,10,498615796
10,0,0,1271,10,501969277
10,0,0,1271,10,499814383
2,9,13,1277,7,138539483
2,9,13,1277,7,135268799
2,9,13,1277,7,135110546
2,9,13,1277,7,135468219
2,9,13,1277,7,141411393
2,9,13,1277,7,140086809
2,9,13,1277,7,136524430
2,9,13,1277,7,145986344
2,9,13,1277,7,137232854
2,9,13,1277,7,135951988
6,6,14,1442,11,438575003
6,6,14,1442,11,438567802
6,6,14,1442,11,437336786
6,6,14,1442,11,445523715
6,6,14,1442,11,433956558
6,6,14,1442,11,442757900
6,6,14,1442,11,439857904
6,6,14,1442,11,437552465
6,6,14,1442,11,440748352
6,6,14,1442,11,441696067
9,4,5,1370,11,2199538194
9,4,5,1370,11,2209204783
9,4,5,1370,11,2195943015
9,4,5,1370,11,2214999334
9,4,5,1370,11,2211150588
9,4,5,1370,11,2202156783
9,4,5,1370,11,2220718037
9,4,5,1370,11,2232469029
9,4,5,1370,11,2232901837
9,4,5,1370,11,2250564026
10,4,7,1828,13,8034154025
10,4,7,1828,13,8024507616
10,4,7,1828,13,8028524414
10,4,7,1828,13,8014308190
10,4,7,1828,13,8020170667
10,4,7,1828,13,8095240226
10,4,7,1828,13,8545132309
10,4,7,1828,13,8241002557
10,4,7,1828,13,8569671185
10,4,7,1828,13,8216030773
10,5,5,1656,12,17007833100
10,5,5,1656,12,17013502961
10,5,5,1656,12,17022609774
10,5,5,1656,12,17028375488
10,5,5,1656,12,17267776343
10,5,5,1656,12,17168506322
10,5,5,1656,12,16835093712
10,5,5,1656,12,17982600666
10,5,5,1656,12,17030308570
10,5,5,1656,12,17191922840
6,10,13,1541,11,41614162594
6,10,13,1541,11,40071123151
6,10,13,1541,11,38728747079
6,10,13,1541,11,39825930066
6,10,13,1541,11,39426511965
6,10,13,1541,11,39480030145
6,10,13,1541,11,39164713389
6,10,13,1541,11,39123494590
6,10,13,1541,11,38744887033
6,10,13,1541,11,38343333704
1,16,7,708,4,4321551560
1,16,7,708,4,4521906325
1,16,7,708,4,4361223153
1,16,7,708,4,4326227815
1,16,7,708,4,4390947636
1,16,7,708,4,4338799297
1,16,7,708,4,4353086334
1,16,7,708,4,4342737815
1,16,7,708,4,4349639065
1,16,7,708,4,4370418208
10,8,11,1775,14,104282361966
10,8,11,1775,14,104150778037
10,8,11,1775,14,103868459305
10,8,11,1775,14,103847147048
10,8,11,1775,14,103723453552
10,8,11,1775,14,103380865702
10,8,11,1775,14,104162971916
10,8,11,1775,14,103506601338
10,8,11,1775,14,103902848908
10,8,11,1775,14,105830599643
