cantGimnasios,cantPokeparadas,tamMochila,distanciaOriginal,distanciaNueva,cantPermutacionesParaMejorar,cantPermutacionesParaMantener,cantReemplazosParaMejorar,cantReemplazosParaMantener,tamCamino,tiempo
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,291.94
2,0,0,102,102,0,0,0,0,2,320.16
3,0,0,447,447,0,0,0,0,3,546.8
4,0,0,509,509,0,0,0,0,4,410.64
3,2,3,703,703,0,0,0,0,4,1709
1,5,2,532,532,0,0,0,0,2,3438.8
6,1,0,1147,1147,0,0,0,0,6,631.68
5,3,2,1494,1494,0,0,0,0,6,1806.9
6,3,4,2347,2347,0,0,0,0,8,2444.52
7,3,3,1271,1271,0,0,0,0,8,1931.1
5,6,9,4443,4406,1,0,0,0,8,8743.52
2,10,8,1670,1670,0,0,0,0,5,13793
7,6,7,3690,3690,0,0,0,0,10,7464.38
2,12,9,1659,1659,0,0,0,0,5,15921.9
10,5,5,3223,3201,0,0,2,0,12,4991.08
10,6,1,1446,1446,0,0,0,0,11,3840.3
7,10,14,4779,4759,1,0,1,0,12,25397
1,17,10,667,667,1,0,0,0,5,30616.2
