cantGimnasios,cantPokeparadas,tamMochila,distancia,tamCamino,iteraciones,alfa,omega,semilla,tiempo
27,96,12,8060,80,1000,0.1,0.15,420,44974417223
27,96,12,8060,80,1000,0.1,0.15,420,45234001039
27,96,12,8060,80,1000,0.1,0.15,420,45155002538
27,96,12,8060,80,1000,0.1,0.15,420,44744402502
27,96,12,8060,80,1000,0.1,0.15,420,44785444335
27,96,12,8060,80,1000,0.1,0.15,420,44759689310
27,96,12,8060,80,1000,0.1,0.15,420,44785047220
27,96,12,8060,80,1000,0.1,0.15,420,44813892815
27,96,12,8060,80,1000,0.1,0.15,420,44887302317
27,96,12,8060,80,1000,0.1,0.15,420,45495177831
42,83,12,11375,120,1000,0.1,0.15,420,103876856575
42,83,12,11375,120,1000,0.1,0.15,420,104036704904
42,83,12,11375,120,1000,0.1,0.15,420,104500142685
42,83,12,11375,120,1000,0.1,0.15,420,104081514925
42,83,12,11375,120,1000,0.1,0.15,420,105196211469
42,83,12,11375,120,1000,0.1,0.15,420,104265823364
42,83,12,11375,120,1000,0.1,0.15,420,103890176176
42,83,12,11375,120,1000,0.1,0.15,420,105721930134
42,83,12,11375,120,1000,0.1,0.15,420,105838842083
42,83,12,11375,120,1000,0.1,0.15,420,105138907308
48,144,12,10586,121,1000,0.1,0.15,420,265977636436
48,144,12,10586,121,1000,0.1,0.15,420,265481037288
48,144,12,10586,121,1000,0.1,0.15,420,265514766649
48,144,12,10586,121,1000,0.1,0.15,420,266069789876
48,144,12,10586,121,1000,0.1,0.15,420,268911965079
48,144,12,10586,121,1000,0.1,0.15,420,264789045290
48,144,12,10586,121,1000,0.1,0.15,420,265164298975
48,144,12,10586,121,1000,0.1,0.15,420,265036999879
48,144,12,10586,121,1000,0.1,0.15,420,265120764916
48,144,12,10586,121,1000,0.1,0.15,420,264920176219
42,102,12,9796,106,1000,0.1,0.15,420,148414208826
42,102,12,9796,106,1000,0.1,0.15,420,148711707479
42,102,12,9796,106,1000,0.1,0.15,420,148359867841
42,102,12,9796,106,1000,0.1,0.15,420,148081970231
42,102,12,9796,106,1000,0.1,0.15,420,148617605012
42,102,12,9796,106,1000,0.1,0.15,420,148525531114
42,102,12,9796,106,1000,0.1,0.15,420,148715048614
42,102,12,9796,106,1000,0.1,0.15,420,148863271220
42,102,12,9796,106,1000,0.1,0.15,420,148832306270
42,102,12,9796,106,1000,0.1,0.15,420,155530911185
48,115,12,11849,137,1000,0.1,0.15,420,309643340758
48,115,12,11849,137,1000,0.1,0.15,420,309847692990
48,115,12,11849,137,1000,0.1,0.15,420,306322880503
48,115,12,11849,137,1000,0.1,0.15,420,306033924077
48,115,12,11849,137,1000,0.1,0.15,420,306173757287
48,115,12,11849,137,1000,0.1,0.15,420,304545920467
48,115,12,11849,137,1000,0.1,0.15,420,307516744868
48,115,12,11849,137,1000,0.1,0.15,420,306483341862
48,115,12,11849,137,1000,0.1,0.15,420,306274595362
48,115,12,11849,137,1000,0.1,0.15,420,306845363213
27,80,12,7000,68,1000,0.1,0.15,420,29289576576
27,80,12,7000,68,1000,0.1,0.15,420,30337298774
27,80,12,7000,68,1000,0.1,0.15,420,28958924317
27,80,12,7000,68,1000,0.1,0.15,420,29034350829
27,80,12,7000,68,1000,0.1,0.15,420,29034626948
27,80,12,7000,68,1000,0.1,0.15,420,29023124958
27,80,12,7000,68,1000,0.1,0.15,420,29018571571
27,80,12,7000,68,1000,0.1,0.15,420,29021738578
27,80,12,7000,68,1000,0.1,0.15,420,29095355273
27,80,12,7000,68,1000,0.1,0.15,420,29036219355
17,30,12,5421,42,1000,0.1,0.15,420,5383846388
17,30,12,5421,42,1000,0.1,0.15,420,5388891024
17,30,12,5421,42,1000,0.1,0.15,420,5351273654
17,30,12,5421,42,1000,0.1,0.15,420,5352403749
17,30,12,5421,42,1000,0.1,0.15,420,5354127845
17,30,12,5421,42,1000,0.1,0.15,420,5380822981
17,30,12,5421,42,1000,0.1,0.15,420,5380657873
17,30,12,5421,42,1000,0.1,0.15,420,5382032244
17,30,12,5421,42,1000,0.1,0.15,420,5380385926
17,30,12,5421,42,1000,0.1,0.15,420,5373779484
18,75,12,5780,57,1000,0.1,0.15,420,10027888730
18,75,12,5780,57,1000,0.1,0.15,420,10083617995
18,75,12,5780,57,1000,0.1,0.15,420,10088789771
18,75,12,5780,57,1000,0.1,0.15,420,10094062184
18,75,12,5780,57,1000,0.1,0.15,420,10004915096
18,75,12,5780,57,1000,0.1,0.15,420,9999895678
18,75,12,5780,57,1000,0.1,0.15,420,9999380509
18,75,12,5780,57,1000,0.1,0.15,420,10079098552
18,75,12,5780,57,1000,0.1,0.15,420,10004640254
18,75,12,5780,57,1000,0.1,0.15,420,10002844542
37,86,12,9440,96,1000,0.1,0.15,420,49153271370
37,86,12,9440,96,1000,0.1,0.15,420,49023993374
37,86,12,9440,96,1000,0.1,0.15,420,49106685598
37,86,12,9440,96,1000,0.1,0.15,420,49175259376
37,86,12,9440,96,1000,0.1,0.15,420,49079363374
37,86,12,9440,96,1000,0.1,0.15,420,48839002970
37,86,12,9440,96,1000,0.1,0.15,420,49099501626
37,86,12,9440,96,1000,0.1,0.15,420,48829440250
37,86,12,9440,96,1000,0.1,0.15,420,49176099963
37,86,12,9440,96,1000,0.1,0.15,420,48947943838
37,124,12,8954,102,1000,0.1,0.15,420,54163394912
37,124,12,8954,102,1000,0.1,0.15,420,53981046468
37,124,12,8954,102,1000,0.1,0.15,420,53712235789
37,124,12,8954,102,1000,0.1,0.15,420,53679018442
37,124,12,8954,102,1000,0.1,0.15,420,53945391610
37,124,12,8954,102,1000,0.1,0.15,420,53765163875
37,124,12,8954,102,1000,0.1,0.15,420,53645661248
37,124,12,8954,102,1000,0.1,0.15,420,53571942541
37,124,12,8954,102,1000,0.1,0.15,420,53645372030
37,124,12,8954,102,1000,0.1,0.15,420,53950388716
10,19,12,4003,26,1000,0.1,0.15,420,1433046481
10,19,12,4003,26,1000,0.1,0.15,420,1422791985
10,19,12,4003,26,1000,0.1,0.15,420,1424304270
10,19,12,4003,26,1000,0.1,0.15,420,1428572217
10,19,12,4003,26,1000,0.1,0.15,420,1459302283
10,19,12,4003,26,1000,0.1,0.15,420,1459798334
10,19,12,4003,26,1000,0.1,0.15,420,1459684134
10,19,12,4003,26,1000,0.1,0.15,420,1462565398
10,19,12,4003,26,1000,0.1,0.15,420,1428873925
10,19,12,4003,26,1000,0.1,0.15,420,1429613105
9,25,12,3474,25,1000,0.1,0.15,420,1412845905
9,25,12,3474,25,1000,0.1,0.15,420,1413671813
9,25,12,3474,25,1000,0.1,0.15,420,1411462082
9,25,12,3474,25,1000,0.1,0.15,420,1387633230
9,25,12,3474,25,1000,0.1,0.15,420,1415374263
9,25,12,3474,25,1000,0.1,0.15,420,1417915430
9,25,12,3474,25,1000,0.1,0.15,420,1415353205
9,25,12,3474,25,1000,0.1,0.15,420,1415112953
9,25,12,3474,25,1000,0.1,0.15,420,1412736077
9,25,12,3474,25,1000,0.1,0.15,420,1412043640
33,89,12,9231,90,1000,0.1,0.15,420,105328810310
33,89,12,9231,90,1000,0.1,0.15,420,105207347322
33,89,12,9231,90,1000,0.1,0.15,420,105308019299
33,89,12,9231,90,1000,0.1,0.15,420,104827981157
33,89,12,9231,90,1000,0.1,0.15,420,105289435078
33,89,12,9231,90,1000,0.1,0.15,420,104795209237
33,89,12,9231,90,1000,0.1,0.15,420,105194440948
33,89,12,9231,90,1000,0.1,0.15,420,105104330611
33,89,12,9231,90,1000,0.1,0.15,420,104864714199
33,89,12,9231,90,1000,0.1,0.15,420,104751369516
42,90,12,10525,113,1000,0.1,0.15,420,126712720068
42,90,12,10525,113,1000,0.1,0.15,420,127335508169
42,90,12,10525,113,1000,0.1,0.15,420,127606091468
42,90,12,10525,113,1000,0.1,0.15,420,127599666155
42,90,12,10525,113,1000,0.1,0.15,420,127458418874
42,90,12,10525,113,1000,0.1,0.15,420,127065867638
42,90,12,10525,113,1000,0.1,0.15,420,128282088500
42,90,12,10525,113,1000,0.1,0.15,420,128621828072
42,90,12,10525,113,1000,0.1,0.15,420,126902807120
42,90,12,10525,113,1000,0.1,0.15,420,127682201958
45,105,12,11875,124,1000,0.1,0.15,420,178153124873
45,105,12,11875,124,1000,0.1,0.15,420,181640131283
45,105,12,11875,124,1000,0.1,0.15,420,184958884391
45,105,12,11875,124,1000,0.1,0.15,420,185612397851
45,105,12,11875,124,1000,0.1,0.15,420,182301009420
45,105,12,11875,124,1000,0.1,0.15,420,177603912067
45,105,12,11875,124,1000,0.1,0.15,420,177320849351
45,105,12,11875,124,1000,0.1,0.15,420,177653993225
45,105,12,11875,124,1000,0.1,0.15,420,178189055295
45,105,12,11875,124,1000,0.1,0.15,420,177902295078
25,69,12,7081,71,1000,0.1,0.15,420,19204725963
25,69,12,7081,71,1000,0.1,0.15,420,19428090192
25,69,12,7081,71,1000,0.1,0.15,420,19343978016
25,69,12,7081,71,1000,0.1,0.15,420,19722688684
25,69,12,7081,71,1000,0.1,0.15,420,19919817919
25,69,12,7081,71,1000,0.1,0.15,420,19919216741
25,69,12,7081,71,1000,0.1,0.15,420,19512456733
25,69,12,7081,71,1000,0.1,0.15,420,19652205114
25,69,12,7081,71,1000,0.1,0.15,420,20605132579
25,69,12,7081,71,1000,0.1,0.15,420,19820866435
19,47,12,6302,49,1000,0.1,0.15,420,5864364267
19,47,12,6302,49,1000,0.1,0.15,420,5753796932
19,47,12,6302,49,1000,0.1,0.15,420,5745657240
19,47,12,6302,49,1000,0.1,0.15,420,5784795813
19,47,12,6302,49,1000,0.1,0.15,420,5835571169
19,47,12,6302,49,1000,0.1,0.15,420,5893685376
19,47,12,6302,49,1000,0.1,0.15,420,5936328229
19,47,12,6302,49,1000,0.1,0.15,420,5846281221
19,47,12,6302,49,1000,0.1,0.15,420,5846645653
19,47,12,6302,49,1000,0.1,0.15,420,6038369759
45,141,12,10962,134,1000,0.1,0.15,420,143292868694
45,141,12,10962,134,1000,0.1,0.15,420,142738614924
45,141,12,10962,134,1000,0.1,0.15,420,142366191164
45,141,12,10962,134,1000,0.1,0.15,420,142363371568
45,141,12,10962,134,1000,0.1,0.15,420,142482360976
45,141,12,10962,134,1000,0.1,0.15,420,142670134638
45,141,12,10962,134,1000,0.1,0.15,420,142316588974
45,141,12,10962,134,1000,0.1,0.15,420,142400918665
45,141,12,10962,134,1000,0.1,0.15,420,142362727407
45,141,12,10962,134,1000,0.1,0.15,420,143622908760
30,53,12,8697,77,1000,0.1,0.15,420,45374326419
30,53,12,8697,77,1000,0.1,0.15,420,44317288733
30,53,12,8697,77,1000,0.1,0.15,420,44336968559
30,53,12,8697,77,1000,0.1,0.15,420,44696406222
30,53,12,8697,77,1000,0.1,0.15,420,44303306730
30,53,12,8697,77,1000,0.1,0.15,420,44686002605
30,53,12,8697,77,1000,0.1,0.15,420,44322859590
30,53,12,8697,77,1000,0.1,0.15,420,44309396887
30,53,12,8697,77,1000,0.1,0.15,420,45244754375
30,53,12,8697,77,1000,0.1,0.15,420,46294200285
8,17,12,2930,19,1000,0.1,0.15,420,544401651
8,17,12,2930,19,1000,0.1,0.15,420,542206135
8,17,12,2930,19,1000,0.1,0.15,420,546048402
8,17,12,2930,19,1000,0.1,0.15,420,542375006
8,17,12,2930,19,1000,0.1,0.15,420,542618572
8,17,12,2930,19,1000,0.1,0.15,420,545757224
8,17,12,2930,19,1000,0.1,0.15,420,547633060
8,17,12,2930,19,1000,0.1,0.15,420,547752924
8,17,12,2930,19,1000,0.1,0.15,420,545384437
8,17,12,2930,19,1000,0.1,0.15,420,545344907
24,49,12,8134,65,1000,0.1,0.15,420,26873185426
