cantGimnasios,cantPokeparadas,tamMochila,distancia,tamCamino,tiempo
27,96,12,11889,80,759226
27,96,12,11889,80,735176
27,96,12,11889,80,735058
27,96,12,11889,80,778759
27,96,12,11889,80,736041
27,96,12,11889,80,735442
27,96,12,11889,80,738125
27,96,12,11889,80,737675
27,96,12,11889,80,735662
27,96,12,11889,80,767324
27,96,12,11889,80,737032
27,96,12,11889,80,733725
27,96,12,11889,80,738554
27,96,12,11889,80,991184
27,96,12,11889,80,1182787
27,96,12,11889,80,856949
27,96,12,11889,80,772262
27,96,12,11889,80,771091
27,96,12,11889,80,829156
27,96,12,11889,80,761947
27,96,12,11889,80,797102
27,96,12,11889,80,737199
27,96,12,11889,80,740844
27,96,12,11889,80,766016
27,96,12,11889,80,735958
27,96,12,11889,80,737949
27,96,12,11889,80,735469
27,96,12,11889,80,740326
27,96,12,11889,80,768578
27,96,12,11889,80,823252
27,96,12,11889,80,862377
27,96,12,11889,80,756847
27,96,12,11889,80,788112
27,96,12,11889,80,1082730
27,96,12,11889,80,832823
27,96,12,11889,80,761305
27,96,12,11889,80,759274
27,96,12,11889,80,762047
27,96,12,11889,80,846360
27,96,12,11889,80,755396
27,96,12,11889,80,753807
27,96,12,11889,80,751712
27,96,12,11889,80,752864
27,96,12,11889,80,791392
27,96,12,11889,80,754437
27,96,12,11889,80,753951
27,96,12,11889,80,756994
27,96,12,11889,80,754143
27,96,12,11889,80,757276
27,96,12,11889,80,753007
27,96,12,11889,80,835973
27,96,12,11889,80,756417
27,96,12,11889,80,781533
27,96,12,11889,80,754737
27,96,12,11889,80,756221
27,96,12,11889,80,752888
27,96,12,11889,80,752313
27,96,12,11889,80,753051
27,96,12,11889,80,757448
27,96,12,11889,80,754053
27,96,12,11889,80,756579
27,96,12,11889,80,754146
27,96,12,11889,80,751081
27,96,12,11889,80,756092
27,96,12,11889,80,760016
27,96,12,11889,80,753153
27,96,12,11889,80,753316
27,96,12,11889,80,753654
27,96,12,11889,80,751099
27,96,12,11889,80,761295
27,96,12,11889,80,752890
27,96,12,11889,80,755371
27,96,12,11889,80,756896
27,96,12,11889,80,767491
27,96,12,11889,80,759171
27,96,12,11889,80,753440
27,96,12,11889,80,751403
27,96,12,11889,80,750601
27,96,12,11889,80,756964
27,96,12,11889,80,757890
27,96,12,11889,80,751843
27,96,12,11889,80,755011
27,96,12,11889,80,756220
27,96,12,11889,80,750284
27,96,12,11889,80,755104
27,96,12,11889,80,752523
27,96,12,11889,80,750035
27,96,12,11889,80,756208
27,96,12,11889,80,756169
27,96,12,11889,80,753601
27,96,12,11889,80,755743
27,96,12,11889,80,751937
27,96,12,11889,80,754023
27,96,12,11889,80,753376
27,96,12,11889,80,758869
27,96,12,11889,80,754904
27,96,12,11889,80,793840
27,96,12,11889,80,826070
27,96,12,11889,80,755824
27,96,12,11889,80,751057
42,83,12,19032,119,2040125
42,83,12,19032,119,2069650
42,83,12,19032,119,2076748
42,83,12,19032,119,2042233
42,83,12,19032,119,2097985
42,83,12,19032,119,2172115
42,83,12,19032,119,2034964
42,83,12,19032,119,2533699
42,83,12,19032,119,2059097
42,83,12,19032,119,2103421
42,83,12,19032,119,2059930
42,83,12,19032,119,2067835
42,83,12,19032,119,2129707
42,83,12,19032,119,2233366
42,83,12,19032,119,2461222
42,83,12,19032,119,2047607
42,83,12,19032,119,2136302
42,83,12,19032,119,2041267
42,83,12,19032,119,2037141
42,83,12,19032,119,2065141
42,83,12,19032,119,2060156
42,83,12,19032,119,2117691
42,83,12,19032,119,2065408
42,83,12,19032,119,2044223
42,83,12,19032,119,2038347
42,83,12,19032,119,2070007
42,83,12,19032,119,2071419
42,83,12,19032,119,2036527
42,83,12,19032,119,2088394
42,83,12,19032,119,2044300
42,83,12,19032,119,2035915
42,83,12,19032,119,2059985
42,83,12,19032,119,2043524
42,83,12,19032,119,2058663
42,83,12,19032,119,2062113
42,83,12,19032,119,2074409
42,83,12,19032,119,2036297
42,83,12,19032,119,2063352
42,83,12,19032,119,2045036
42,83,12,19032,119,2043921
42,83,12,19032,119,2058528
42,83,12,19032,119,2046297
42,83,12,19032,119,2036257
42,83,12,19032,119,2061389
42,83,12,19032,119,2041209
42,83,12,19032,119,2037859
42,83,12,19032,119,2213728
42,83,12,19032,119,2076418
42,83,12,19032,119,2031620
42,83,12,19032,119,2085213
42,83,12,19032,119,2040070
42,83,12,19032,119,2072898
42,83,12,19032,119,2109885
42,83,12,19032,119,2080981
42,83,12,19032,119,2373585
42,83,12,19032,119,2085168
42,83,12,19032,119,2039295
42,83,12,19032,119,2035236
42,83,12,19032,119,2065244
42,83,12,19032,119,2045547
42,83,12,19032,119,2033834
42,83,12,19032,119,2137112
42,83,12,19032,119,2046548
42,83,12,19032,119,2037642
42,83,12,19032,119,2069174
42,83,12,19032,119,2044530
42,83,12,19032,119,2047841
42,83,12,19032,119,2060871
42,83,12,19032,119,2046680
42,83,12,19032,119,2032618
42,83,12,19032,119,2061698
42,83,12,19032,119,2042679
42,83,12,19032,119,2036195
42,83,12,19032,119,2057508
42,83,12,19032,119,2068951
42,83,12,19032,119,2041851
42,83,12,19032,119,2067328
42,83,12,19032,119,2068516
42,83,12,19032,119,2041710
42,83,12,19032,119,2061787
42,83,12,19032,119,2045340
42,83,12,19032,119,2036774
42,83,12,19032,119,2052597
42,83,12,19032,119,2040003
42,83,12,19032,119,2038353
42,83,12,19032,119,2062941
