cantGimnasios,cantPokeparadas,tamMochila,distancia,tamCamino,iteraciones,alfa,omega,semilla,tiempo
1,0,12,0,1,1000,0.1,0.15,420,6171860
1,0,12,0,1,1000,0.1,0.15,420,6688794
1,0,12,0,1,1000,0.1,0.15,420,5983056
1,0,12,0,1,1000,0.1,0.15,420,5886730
1,0,12,0,1,1000,0.1,0.15,420,5867123
1,0,12,0,1,1000,0.1,0.15,420,5912731
1,0,12,0,1,1000,0.1,0.15,420,5798239
1,0,12,0,1,1000,0.1,0.15,420,5773583
1,0,12,0,1,1000,0.1,0.15,420,5812588
1,0,12,0,1,1000,0.1,0.15,420,5824035
2,0,12,679,2,1000,0.1,0.15,420,10229394
2,0,12,679,2,1000,0.1,0.15,420,10263226
2,0,12,679,2,1000,0.1,0.15,420,10539657
2,0,12,679,2,1000,0.1,0.15,420,10442626
2,0,12,679,2,1000,0.1,0.15,420,10215004
2,0,12,679,2,1000,0.1,0.15,420,10759143
2,0,12,679,2,1000,0.1,0.15,420,10227726
2,0,12,679,2,1000,0.1,0.15,420,10259841
2,0,12,679,2,1000,0.1,0.15,420,10282453
2,0,12,679,2,1000,0.1,0.15,420,10222834
3,0,12,719,3,1000,0.1,0.15,420,13946643
3,0,12,719,3,1000,0.1,0.15,420,14229388
3,0,12,719,3,1000,0.1,0.15,420,14066922
3,0,12,719,3,1000,0.1,0.15,420,13928400
3,0,12,719,3,1000,0.1,0.15,420,14449549
3,0,12,719,3,1000,0.1,0.15,420,14060621
3,0,12,719,3,1000,0.1,0.15,420,13969419
3,0,12,719,3,1000,0.1,0.15,420,13885403
3,0,12,719,3,1000,0.1,0.15,420,13945386
3,0,12,719,3,1000,0.1,0.15,420,13909531
3,1,12,1330,4,1000,0.1,0.15,420,16404580
3,1,12,1330,4,1000,0.1,0.15,420,17082708
3,1,12,1330,4,1000,0.1,0.15,420,16149200
3,1,12,1330,4,1000,0.1,0.15,420,16006965
3,1,12,1330,4,1000,0.1,0.15,420,15958308
