cantGimnasios,cantPokeparadas,tamMochila,distancia,tamCamino,tiempo
1,0,12,0,1,10159
1,0,12,0,1,7587
1,0,12,0,1,7198
1,0,12,0,1,6912
1,0,12,0,1,6758
1,0,12,0,1,6632
1,0,12,0,1,6643
1,0,12,0,1,6694
1,0,12,0,1,6660
1,0,12,0,1,6687
2,0,12,679,2,16943
2,0,12,679,2,16269
2,0,12,679,2,15612
2,0,12,679,2,15648
2,0,12,679,2,15459
2,0,12,679,2,14396
2,0,12,679,2,14258
2,0,12,679,2,14307
2,0,12,679,2,14264
2,0,12,679,2,14094
3,0,12,719,3,34781
3,0,12,719,3,32394
3,0,12,719,3,33480
3,0,12,719,3,34212
3,0,12,719,3,33626
3,0,12,719,3,31683
3,0,12,719,3,33537
3,0,12,719,3,32326
3,0,12,719,3,32031
3,0,12,719,3,31961
3,1,12,1330,4,40347
3,1,12,1330,4,39552
3,1,12,1330,4,38326
3,1,12,1330,4,37089
3,1,12,1330,4,39197
3,1,12,1330,4,37201
3,1,12,1330,4,36948
3,1,12,1330,4,39211
3,1,12,1330,4,39313
3,1,12,1330,4,37579
5,0,12,1539,5,302521
5,0,12,1539,5,298731
5,0,12,1539,5,300061
5,0,12,1539,5,319413
5,0,12,1539,5,304191
5,0,12,1539,5,302961
5,0,12,1539,5,302558
5,0,12,1539,5,303119
5,0,12,1539,5,301611
5,0,12,1539,5,301885
1,5,12,591,3,162603
1,5,12,591,3,145675
1,5,12,591,3,140266
1,5,12,591,3,146148
1,5,12,591,3,139983
1,5,12,591,3,140006
1,5,12,591,3,140291
1,5,12,591,3,145263
1,5,12,591,3,140190
1,5,12,591,3,140170
4,3,12,1179,5,641698
4,3,12,1179,5,633115
4,3,12,1179,5,631481
4,3,12,1179,5,635443
4,3,12,1179,5,634524
4,3,12,1179,5,630056
4,3,12,1179,5,635709
4,3,12,1179,5,639771
4,3,12,1179,5,638502
4,3,12,1179,5,616099
6,2,12,2027,7,24546411
6,2,12,2027,7,24315321
6,2,12,2027,7,24220553
6,2,12,2027,7,24436356
6,2,12,2027,7,24570762
6,2,12,2027,7,24539640
6,2,12,2027,7,24722177
6,2,12,2027,7,24538468
6,2,12,2027,7,24639367
6,2,12,2027,7,24312581
5,4,12,1511,6,15363355
5,4,12,1511,6,15842651
5,4,12,1511,6,15512587
5,4,12,1511,6,15380310
5,4,12,1511,6,15303713
5,4,12,1511,6,15476191
5,4,12,1511,6,15399523
5,4,12,1511,6,15313204
5,4,12,1511,6,15353017
5,4,12,1511,6,15317782
10,0,12,2185,10,260314100
10,0,12,2185,10,258122169
10,0,12,2185,10,257994351
10,0,12,2185,10,258386959
10,0,12,2185,10,259446380
10,0,12,2185,10,258149669
10,0,12,2185,10,257408920
10,0,12,2185,10,358808755
10,0,12,2185,10,369333791
10,0,12,2185,10,371846330
2,9,12,1628,7,68442961
2,9,12,1628,7,67928244
2,9,12,1628,7,67683252
2,9,12,1628,7,49974956
2,9,12,1628,7,47201070
2,9,12,1628,7,47139896
2,9,12,1628,7,47605782
2,9,12,1628,7,47137764
2,9,12,1628,7,47134416
2,9,12,1628,7,47357828
6,6,12,2702,11,3150218857
6,6,12,2702,11,2903808658
6,6,12,2702,11,2914324753
6,6,12,2702,11,3463673842
6,6,12,2702,11,2857026139
6,6,12,2702,11,2753569764
6,6,12,2702,11,3236763374
6,6,12,2702,11,2942195364
6,6,12,2702,11,3060281450
6,6,12,2702,11,3272339036
9,4,12,2414,11,50136934970
9,4,12,2414,11,52078591355
9,4,12,2414,11,53810032010
9,4,12,2414,11,51426833262
9,4,12,2414,11,44397108089
9,4,12,2414,11,44170705270
9,4,12,2414,11,44171322147
9,4,12,2414,11,44202317447
9,4,12,2414,11,44180573778
9,4,12,2414,11,44174656818
10,4,12,2062,13,77390454488
10,4,12,2062,13,79877062319
10,4,12,2062,13,78529920661
10,4,12,2062,13,76739683111
10,4,12,2062,13,70134661578
10,4,12,2062,13,65792297812
10,4,12,2062,13,65903705965
10,4,12,2062,13,65832786815
10,4,12,2062,13,65831383416
10,4,12,2062,13,65797558044
10,5,12,2794,12,30940467231
10,5,12,2794,12,30665207964
10,5,12,2794,12,30669010935
10,5,12,2794,12,30670784754
10,5,12,2794,12,30852895096
10,5,12,2794,12,30773395511
10,5,12,2794,12,32034791127
10,5,12,2794,12,32138234671
10,5,12,2794,12,32575725627
10,5,12,2794,12,30664541683
6,10,12,2267,11,352004429729
6,10,12,2267,11,400881859824
6,10,12,2267,11,349956305191
6,10,12,2267,11,339071753456
6,10,12,2267,11,343563981573
6,10,12,2267,11,358418815103
6,10,12,2267,11,340053139639
6,10,12,2267,11,355298342552
6,10,12,2267,11,367069789657
6,10,12,2267,11,351508159624
1,16,12,542,4,27021484
1,16,12,542,4,26500431
1,16,12,542,4,26022622
1,16,12,542,4,26296019
1,16,12,542,4,26131868
1,16,12,542,4,26029251
1,16,12,542,4,25960851
1,16,12,542,4,26177877
1,16,12,542,4,26192343
1,16,12,542,4,27021773
