cantGimnasios,cantPokeparadas,tamMochila,distancia,tamCamino,tiempo
1,0,12,0,1,11611
1,0,12,0,1,9477
1,0,12,0,1,9361
1,0,12,0,1,8820
1,0,12,0,1,8962
1,0,12,0,1,10009
1,0,12,0,1,9007
1,0,12,0,1,19791
1,0,12,0,1,7305
1,0,12,0,1,7337
1,0,12,0,1,7069
1,0,12,0,1,7556
1,0,12,0,1,7513
1,0,12,0,1,7728
1,0,12,0,1,7246
1,0,12,0,1,7210
1,0,12,0,1,7092
1,0,12,0,1,7193
1,0,12,0,1,7245
1,0,12,0,1,7125
1,0,12,0,1,7494
1,0,12,0,1,7120
1,0,12,0,1,7223
1,0,12,0,1,7310
1,0,12,0,1,7527
1,0,12,0,1,7175
1,0,12,0,1,6949
1,0,12,0,1,7106
1,0,12,0,1,7104
1,0,12,0,1,7008
1,0,12,0,1,6999
1,0,12,0,1,7435
1,0,12,0,1,7483
1,0,12,0,1,7195
1,0,12,0,1,7187
1,0,12,0,1,7123
1,0,12,0,1,7088
1,0,12,0,1,7450
1,0,12,0,1,7191
1,0,12,0,1,7314
1,0,12,0,1,7602
1,0,12,0,1,7448
1,0,12,0,1,7326
1,0,12,0,1,7231
1,0,12,0,1,6935
1,0,12,0,1,7491
1,0,12,0,1,6927
1,0,12,0,1,7399
1,0,12,0,1,7190
1,0,12,0,1,7176
1,0,12,0,1,7487
1,0,12,0,1,7524
1,0,12,0,1,7122
1,0,12,0,1,7462
1,0,12,0,1,7257
1,0,12,0,1,7159
1,0,12,0,1,7015
1,0,12,0,1,7411
1,0,12,0,1,7220
1,0,12,0,1,6995
1,0,12,0,1,7358
1,0,12,0,1,7425
1,0,12,0,1,7443
1,0,12,0,1,7361
1,0,12,0,1,7420
1,0,12,0,1,7368
1,0,12,0,1,7339
1,0,12,0,1,7323
1,0,12,0,1,7149
1,0,12,0,1,7011
1,0,12,0,1,7059
1,0,12,0,1,7615
1,0,12,0,1,6899
1,0,12,0,1,7301
1,0,12,0,1,7039
1,0,12,0,1,7191
1,0,12,0,1,7484
1,0,12,0,1,7572
1,0,12,0,1,7663
1,0,12,0,1,7480
1,0,12,0,1,7322
